번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,서울특별시,성동구,서울특별시 성동구청,서 4-1,1982-10-30,,노목,회화,Sophora japonica L.,회화나무,1,515,15,4.5,,마을나무,공원,,공공,,서울특별시 성동구 성수2가1동 416-2,37.536358,127.051574,2020-12-08
2,서울특별시,성동구,서울특별시 성동구청,서 4-2,1981-10-27,,노목,느티,Zelkova serrata (Thunb.) Makino,느티나무,1,315,12,4.5,,마을나무,대,,단체,,서울특별시 성동구 성수1가동 110,37.542914,127.046969,2020-12-08
3,서울특별시,성동구,서울특별시 성동구청,서 4-3,1981-10-27,,노목,느티,Zelkova serrata (Thunb.) Makino,느티나무,1,315,16,3.8,,마을나무,대,,단체,,서울특별시 성동구 성수1가동 110,37.539258,127.047051,2020-12-08
4,서울특별시,성동구,서울특별시 성동구청,서 4-4,1981-10-27,,노목,은행,Ginkgo biloba L.,은행나무,1,415,17,4.3,,마을나무,대,,공공,,서울특별시 성동구 상왕십리동 71,37.569258,127.0237508,2020-12-08
5,서울특별시,성동구,서울특별시 성동구청,서 4-5,1986-11-25,,노목,느티,Zelkova serrata (Thunb.) Makino,느티나무,1,310,20,4.8,,마을나무,수도용지,,공공,,서울특별시 성동구 성수1가동 642-1,37.542914,127.046969,2020-12-08
6,서울특별시,성동구,서울특별시 성동구청,서 4-6,1981-10-27,,거목,느티,Zelkova serrata (Thunb.) Makino,느티나무,1,215,20,3.2,,마을나무,종교용지,,단체,,서울특별시 성동구 옥수동 415-1,37.54435936,127.0175031,2020-12-08
7,서울특별시,성동구,서울특별시 성동구청,서 4-7,1981-10-27,,거목,느티,Zelkova serrata (Thunb.) Makino,느티나무,1,215,20,3.3,,마을나무,종교용지,,단체,,서울특별시 성동구 옥수동 415-1,37.54435936,127.0175031,2020-12-08
8,서울특별시,성동구,서울특별시 성동구청,서 4-8,2000-12-20,,거목,느티,Zelkova serrata (Thunb.) Makino,느티나무,1,340,12,3.4,,마을나무,대,,공공,,서울특별시 성동구 성수1가동 208,37.5463162,127.0420805,2020-12-08
9,서울특별시,성동구,서울특별시 성동구청,서 4-9,2004-12-27,,거목,느티,Zelkova serrata (Thunb.) Makino,느티나무,1,300,12,2.7,,마을나무,대,,공공,,서울특별시 성동구 성수1가동 208,37.5463162,127.0420805,2020-12-08
10,서울특별시,관악구,서울특별시 관악구청,서21-1,1974-04-20,,노목+거목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,1,370,17,5,,도나무,대,213,개인,서울특별시 관악구 난곡로 133-6,서울특별시 관악구 신림동 697-40,37.46722928,126.920178,2024-07-01
11,서울특별시,광진구,서울특별시 광진구청,서5-1,1974-04-20,,노목,쌍떡잎식물쐐기풀목느릅나무과,Sawleaf Zelkova,느티나무,1,663,7,5.1,18.2,도나무,대,1501,개인,서울특별시 광진구 군자로 30-1,서울특별시 광진구 화양동 131,37.546153,127.0708377,2022-03-17
12,서울특별시,광진구,서울특별시 광진구청,서5-2,1982-10-20,,노목,쌍떡잎식물쐐기풀목느릅나무과,Sawleaf Zelkova,느티나무,1,400,19.5,4.1,16.3,도나무,종교용지,2684,개인,서울특별시 광진구 영화사로 107,서울특별시 광진구 구의동 9,37.55417334,127.0979657,2022-03-17
13,서울특별시,광진구,서울특별시 광진구청,서5-3,2000-12-20,,노목,겉씨식물구과식물목측백나무과,Juniperus chinensis,향나무,1,467,13,2.2,12.4,도나무,공원,758,공공,,서울특별시 광진구 능동 367-2,37.553765,127.070444,2022-03-17
14,서울특별시,광진구,서울특별시 광진구청,서5-4,2005-07-21,,노목,쌍떡잎식물쐐기풀목느릅나무과,Sawleaf Zelkova,느티나무,1,312,16,3.7,13.1,도나무,공원,949,공공,,서울특별시 광진구 화양동 110-32,37.546333,127.071925,2022-03-17
15,서울특별시,금천구,서울특별시 금천구청,서18-6,1998-04-18,,노목,느릅나무과,Ze Lkov Serrata Mak ino,느티나무,1,520,7,4.2,13.4,시·군나무,대,,공공,서울특별시 금천구 호암로 278,서울특별시 금천구 시흥동 234,37.452532,126.9252904,2020-09-02
16,서울특별시,금천구,서울특별시 금천구청,서18-5,1998-04-18,,노목,느릅나무과,Ze Lkov Serrata Mak ino,느티나무,1,520,11,3.6,14,시·군나무,대,,공공,서울특별시 금천구 호암로 278,서울특별시 금천구 시흥동 234,37.452532,126.9252904,2020-09-02
17,서울특별시,금천구,서울특별시 금천구청,서18-4,1969-05-12,,노목,콩과,Junperus Ch inens is Linne,향나무,1,574,10,2.3,11.8,시·군나무,공원,,공공,,서울특별시 금천구 시흥동 230-40,37.452551,126.915958,2020-09-02
18,서울특별시,금천구,서울특별시 금천구청,서18-3,1968-07-03,,노목,은행나무과,Ginkgo biloba Linne,은행나무,1,880,10.8,7.3,11,시·군나무,대,,공공,,서울특별시 금천구 시흥동 836-33,37.451759,126.907986,2020-09-02
19,서울특별시,금천구,서울특별시 금천구청,서18-2,1968-07-03,,노목,은행나무과,Ginkgo biloba Linne,은행나무,1,880,14,8.6,15.8,시·군나무,도로,,공공,,서울특별시 금천구 시흥동 1000-106,37.451362,126.908261,2020-09-02
20,서울특별시,금천구,서울특별시 금천구청,서18-1,1968-07-03,,노목,은행나무과,Ginkgo biloba Linne,은행나무,1,880,8.5,6.1,10.4,시·군나무,도로,,공공,,서울특별시 금천구 시흥동 1000-124,37.450918,126.909039,2020-09-02
21,서울특별시,마포구,서울특별시 마포구청,서14-1,1968-07-03,,노목+거목,,,느티나무,1,337,21,690,,마을나무,대,,개인,마포구 토정로4길 58,서울특별시 마포구 상암동 1595번지 한국지역정보개발원(KLID Tower),37.544179,126.913364,2023-12-27
22,서울특별시,마포구,서울특별시 마포구청,서14-3,1968-07-03,,노목+거목,,,회화나무,1,287,11,489,,마을나무,대,,,,마포구 창전동 444,37.548161,126.928624,2023-12-27
23,서울특별시,마포구,서울특별시 마포구청,서14-4,1968-07-03,,노목+거목,,,은행나무,1,237,17,363,,마을나무,대,,,,마포구 상수동 353-3,37.545545,126.924876,2023-12-27
24,서울특별시,마포구,서울특별시 마포구청,서14-5,1968-07-03,,노목+거목,,,느티나무,1,187,18,300,,도나무,임야,,,,마포구 창전동 42-17,37.548849,126.928372,2023-12-27
25,서울특별시,마포구,서울특별시 마포구청,서14-6,1968-07-03,,노목+거목,,,느티나무,1,187,16,275,,시·군나무,공원,,,,마포구 창전동 446-5,37.548459,126.92865,2023-12-27
26,서울특별시,마포구,서울특별시 마포구청,서14-7,1968-07-03,,노목+거목,,,느티나무,1,185,25,260,,시·군나무,공원,,,,마포구 창전동 446-5,37.548459,126.92865,2023-12-27
27,서울특별시,마포구,서울특별시 마포구청,서14-8,1968-07-04,,노목+거목,,,회화나무,1,185,21,260,,시·군나무,공원,,,,마포구 창전동 445,37.548434,126.928339,2023-12-27
28,서울특별시,마포구,서울특별시 마포구청,서14-9,1968-07-05,,노목+거목,,,회화나무,1,185,12,280,,시·군나무,공원,,,,마포구 창전동 445,37.548434,126.928339,2023-12-27
29,서울특별시,마포구,서울특별시 마포구청,서14-10,1968-07-06,,노목+거목,,,회화나무,1,185,9,338,,시·군나무,도로,,,,마포구 상수동 276,37.545738,126.925637,2023-12-27
30,서울특별시,마포구,서울특별시 마포구청,서14-11,1968-07-07,,노목+거목,,,느티나무,1,185,12,340,,시·군나무,대,,,,마포구 상수동 334-10,37.546294,126.922122,2023-12-27
31,서울특별시,마포구,서울특별시 마포구청,서14-12,1981-10-27,,노목+거목,,,회화나무,1,170,19,236,,시·군나무,공원,,,,마포구 상수동 262-3,37.545613,126.925269,2023-12-27
32,서울특별시,마포구,서울특별시 마포구청,서14-13,1981-10-27,,노목+거목,,,느티나무,1,170,20,388,,마을나무,묘지,,,마포구 양화진길 46,,37.546329,126.911486,2023-12-27
33,서울특별시,마포구,서울특별시 마포구청,서14-14,2004-12-27,,노목+거목,,,비술나무,1,155,20,410,,도나무,학교용지,,,마포구 백범로17길 9,,37.548735,126.944425,2023-12-27
34,서울특별시,마포구,서울특별시 마포구청,서14-15,2004-12-27,,노목+거목,,,비술나무,1,155,15,290,,도나무,학교용지,,,마포구 백범로17길 9,,37.548168,126.944128,2023-12-27
35,서울특별시,마포구,서울특별시 마포구청,서14-16,2005-07-21,,노목+거목,,,은행나무,1,135,23.6,330,,시·군나무,임야,,,,마포구 합정동 450-6,37.551501,126.903545,2023-12-27
36,서울특별시,강북구,서울특별시 강북구청,서9-2,1981-10-27,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,1,415,28,3.3,,시·군나무,임야,,단체,서울특별시 강북구 인수봉로23길 235 (수유동),서울특별시 강북구 수유동 산 164-5,37.632523,127.007773,2024-07-09
37,서울특별시,강북구,서울특별시 강북구청,서9-5,2006-07-13,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,1,120,17.7,3.6,,마을나무,학교용지,,단체,서울특별시 강북구 인수봉로 159,서울특별시 강북구 수유동 458-1,37.633914,127.012651,2024-07-09
38,서울특별시,강북구,서울특별시 강북구청,서9-1,1981-10-27,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,1,415,20.5,3.6,,시·군나무,임야,,단체,서울특별시 강북구 인수봉로23길 235 (수유동),서울특별시 강북구 수유동 산 164-5,37.632599,127.007881,2024-07-10
39,서울특별시,영등포구,영등포구청,서19-1,1968-07-03,,거목+노목,은행나무,Ginkgo biloba,은행나무,1,530,18,5.5,,도나무,공원,,공공,"서울특별시 영등포구 당산로46길 38, 당산동6가 10-7 (당산동6가)",서울특별시 영등포구 당산동6가 10-13,37.532941,126.906597,2024-06-30
