번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,부산광역시,서구,부산광역시 서구청,2-2-10-0-01,1980-12-08,,노목+거목,,,팽나무,1,143,15,4.7,,마을나무,대,61,,서구 암남동 622-53,,35.065430,129.013490,2024-07-15
2,부산광역시,사상구,부산광역시 사상구청,동나무 2-15-13-1,1980-12-08,,노목,느릅나무과,Celtis sinensis,팽나무,1,256,15,2.7,15,면나무,도로,1513,공공,부산광역시 사상구 엄궁동 633(엄궁동),부산광역시 사상구 엄궁동 633,35.127723,128.970254,2024-08-12
3,부산광역시,사상구,부산광역시 사상구청,마을나무 2-15-1-0-1,1980-12-08,,노목,소나무과,Pinus densiflora Siebold & Zucc.,소나무,1,136,8,2.1,8,마을나무,대,280,공공,부산광역시 사상구 낙동대로1318번길 14(삼락동),부산광역시 사상구 삼락동 396-10,35.17747061,128.9770275,2024-08-12
4,부산광역시,해운대구,부산광역시 해운대구,02월 07일,1980-12-08,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata (Thunb.) Makino,느티나무,1,500,20,6.4,,도나무,대,,,부산광역시 해운대구 반송로617번길 23,부산광역시 해운대구 석대동 257-1,35.2210645,129.1292388,2024-07-18
5,부산광역시,해운대구,부산광역시 해운대구,2002-09-01,1980-12-08,,노목,겉씨식물 구과식물목 소나무과,Pinus densiflora Siebold & Zucc.,소나무,1,300,15,2.9,,시·군나무,종교용지,,,,부산광역시 해운대구 중동 594-1,35.160458,129.1910276,2024-07-18
6,부산광역시,해운대구,부산광역시 해운대구,2002-09-02,1980-12-08,,노목,겉씨식물 구과식물목 소나무과,Pinus densiflora Siebold & Zucc.,소나무,1,300,15,2.8,,시·군나무,대,,,,부산광역시 해운대구 중동 659,35.1619373,129.1881157,2024-07-18
7,부산광역시,해운대구,부산광역시 해운대구,2002-09-03,1980-12-08,,노목,쌍떡잎식물 용담목 물푸레나무과,Chionanthus retusus Lindl. & Paxton,이팝나무,1,300,15,4.4,,시·군나무,임야,,,,부산광역시 해운대구 석대동 468-1,35.2197677,129.1263813,2024-07-18
8,부산광역시,해운대구,부산광역시 해운대구,2002-09-04,1980-12-08,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata (Thunb.) Makino,느티나무,1,300,15,4.4,,시·군나무,임야,,,,부산광역시 해운대구 석대동 468-1,35.2197677,129.1263813,2024-07-18
9,부산광역시,해운대구,부산광역시 해운대구,2002-09-05,2012-07-17,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Celtis sinensis Pers.,팽나무,1,300,10,4,,시·군나무,공원,,,부산광역시 해운대구 수영강변대로 93,부산광역시 해운대구 우동 1494,35.16864139,129.1260362,2024-07-18
10,부산광역시,해운대구,부산광역시 해운대구,2002-09-05,2012-07-17,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Celtis sinensis Pers.,팽나무,1,500,12,4.5,,도나무,공원,,,부산광역시 해운대구 수영강변대로 93,부산광역시 해운대구 우동 1494,35.16864139,129.1260362,2024-07-18
11,부산광역시,해운대구,부산광역시 해운대구,2-9-6-1,1980-12-08,,노목,겉씨식물 구과식물목 소나무과,Pinus densiflora Siebold & Zucc.,소나무,1,250,15,3.2,,면나무,임야,,,,부산광역시 해운대구 석대동 산136,35.2215487,129.128799,2024-07-18
12,부산광역시,연제구,부산광역시 연제구,2-13-2-1,1980-12-08,2030-07-14,노목,pinaceae,Pinus thunbergii PARL.,소나무,1,293,16,1.2,22,시·군나무,대,66,개인,부산광역시 연제구 금용로15번길 14-7 (거제동),부산광역시 연제구 거제동 799-4,35.1869245,129.0665006,2024-07-26
13,부산광역시,해운대구,부산광역시 해운대구,2-9-7-0-2,2000-06-26,,노목,겉씨식물 구과식물목 소나무과,Pinus densiflora Siebold & Zucc.,소나무,1,300,3.7,2.4,,시·군나무,임야,,,,부산광역시 해운대구 송정동 835,35.168985,129.197052,2024-07-18
14,부산광역시,강서구,부산시청,2-12-6-0-1,1982-11-10,,노목+거목,,,팽나무,1,189,13,9.7,,마을나무,유원지,,,부산광역시 강서구 가락대로 929,부산광역시 강서구 범방동 1833,35.15802,128.87591,2024-07-23
15,부산광역시,강서구,부산시청,2-12-1,1982-11-10,,노목+거목,,,느티나무,1,339,12,8.0,,시·군나무,전,,,,부산광역시 강서구 녹산동 1091,35.11330,128.86752,2024-07-23
16,부산광역시,강서구,부산시청,2-12-6-1,1982-11-10,,노목+거목,,,팽나무,1,300,15,6.1,,면나무,전,,,,부산광역시 강서구 녹산동 730,35.11049,128.86967,2024-07-23
17,부산광역시,강서구,부산시청,2-12-2-0-1,1982-11-10,,노목+거목,,,소나무,1,200,8,7.8,,마을나무,전,,,,부산광역시 강서구 대저2동 3872,35.15870,128.95352,2024-07-23
18,부산광역시,북구,부산광역시 북구청,2-8-2-3,1980-12-08,,노목,느릅나무과,Celtis sinensis,팽나무,1,287,18,2.4,,면나무,임야,160,공공,,부산광역시 북구 금곡동 1030,37.2820132,126.9535832,2024-07-18
