번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,대구광역시,북구,대구광역시북구청,5-1,1982-10-30,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,1,1041,17,6.8,,도나무,공원,,,,대구광역시 북구 연경동 940,35.945384,128.616053,2024-01-28
2,대구광역시,북구,대구광역시북구청,5-1,1982-10-30,2023-01-10,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,1,300,12,4.8,,시·군나무,공원,,,,대구광역시 북구 연경동 940,35.945337,128.620016,2024-04-29
3,대구광역시,북구,대구광역시북구청,5-2,1982-10-30,,거목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,1,541,11,6.8,,도나무,도로,,,,대구광역시 북구 동변동 634-4,35.922057,128.602739,2024-04-29
4,대구광역시,북구,대구광역시북구청,5-3,1982-10-30,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,1,491,18,3.5,,시·군나무,답,,,,대구광역시 북구 국우동 산143,35.953741,128.578749,2024-04-29
5,대구광역시,북구,대구광역시북구청,5-4,1982-10-30,,노목,겉씨식물 은행나무목 은행나무과,Ginkgo biliba L,은행나무,1,841,20,6.3,,도나무,임야,,,대구광역시 북구 매천로37길 29-12,대구광역시 북구 매천동 117-3,35.9141499,128.5391408,2024-04-29
6,대구광역시,북구,대구광역시북구청,5-5,1982-10-30,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,1,291,15,4.5,,면나무,대,,,,대구광역시 북구 도남동 산87,35.965812,128.588289,2024-04-29
7,대구광역시,북구,대구광역시북구청,5-7,1982-10-30,,노목,쌍떡잎식물 버드나무목 버드나무과,Salix glandulosa Seem,버드나무,1,191,10,4.4,,마을나무,하천,,,,대구광역시 북구 서변동 1668-1,35.925885,128.594144,2024-04-29
8,대구광역시,북구,대구광역시북구청,5-8,1999-08-31,,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Celtis sinensis Persoon,팽나무,1,324,15,3,,시·군나무,대,,,대구광역시 북구 구암로21길 41,대구광역시 북구 읍내동 1090,35.93619735,128.5527042,2024-04-29
9,대구광역시,북구,대구광역시북구청,5-9,1999-08-31,,노목,쌍떡잎식물 무환자나무목 무환자나무과,Koelreuteria paniculata Laxm,모감주나무,1,124,14,2.2,,마을나무,도로,,,,대구광역시 북구 산격동 산4-1,35.904482,128.616639,2024-04-29
10,대구광역시,북구,대구광역시북구청,5-10,2001-05-21,,노목,쌍떡잎식물 버드나무목 버드나무과,Salix glandulosa Seem,왕버들나무,7,172,10,2.5,,마을나무,하천,,,,대구광역시 북구 동변동 617-1,35.934865,128.608057,2024-04-29
11,대구광역시,북구,대구광역시북구청,5-11,2018-01-15,,노목,쌍떡잎식물 도금양목 부처꽃과,Lagerstroemia indica,배롱나무,1,275,10,1.15,,마을나무,대,,,대구광역시 북구 호국로51길 45-17,대구광역시 북구 서변동 881,35.9252545,128.5930476,2024-04-29
12,대구광역시,수성구,대구광역시 수성구청,43985,1982-10-30,,노목,느릅나무과,Zelkova serrata Makino,느티나무,1,400,18,5,,시·군나무,도로,,,,대구광역시 수성구 지산동 1735,35.827149,128.629758,2021-10-22
13,대구광역시,수성구,대구광역시 수성구청,43986,1982-10-30,,노목,느릅나무과,Zelkova serrata Makino,느티나무,1,400,12,4.8,,시·군나무,도로,,,,대구광역시 수성구 지산동 1719-9,35.827753,128.634306,2021-10-22
14,대구광역시,수성구,대구광역시 수성구청,43987,1982-10-30,,노목,느릅나무과,Zelkova serrata Makino,느티나무,1,200,16,3,,면나무,도로,,,,대구광역시 수성구 지산동 718-1,35.828188,128.634359,2021-10-22
15,대구광역시,수성구,대구광역시 수성구청,43988,1982-10-30,,노목,느릅나무과,Zelkova serrata Makino,느티나무,2,200,20.2,3.4,,면나무,잡종지,,,,대구광역시 수성구 범물동 464,35.817337,128.644946,2021-10-22
16,대구광역시,수성구,대구광역시 수성구청,43989,1982-10-30,,노목,물푸레나무과,Chionanthus retusus Lindley et paxton,이팝나무,4,300,9,7.1,,시·군나무,임야,,,,대구광역시 수성구 고모동 393,35.859155,128.677267,2021-10-22
17,대구광역시,수성구,대구광역시 수성구청,43990,1982-10-30,,노목,장미과,Chaenomeles sinensis Koehne,모과나무,1,600,9,2.5,,도나무,대,,,,대구광역시 수성구 만촌동 537-3,35.866581,128.654639,2021-10-22
18,대구광역시,수성구,대구광역시 수성구청,43991,2003-01-16,,노목,느릅나무과,Zelkova serrata Makino,느티나무,2,300,10.5,2.5,,시·군나무,대,,,,대구광역시 수성구 성동 산22-3,35.852755,128.718729,2021-10-22
19,대구광역시,수성구,대구광역시 수성구청,43993,2021-02-01,,노목,느릅나무과,East Asian hackberry,팽나무,1,350,20,2.2,,시·군나무,체육용지,,,,대구광역시 수성구 대흥동 504,35.493418,128.410086,2021-10-22
20,대구광역시,수성구,대구광역시 수성구청,43992,2020-08-27,,노목,물푸레나무과,Chionanthus retusus Lindley et paxton,이팝나무,3,150,12,1.79,,시·군나무,임야,,,,대구광역시 수성구 욱수동 산 3,35.495002,128.424312,2021-10-22
21,대구광역시,서구,대구광역시 서구청,03월 01일,1982-10-30,,노목,쌍떡잎식물 장미목 콩과,Sophora japonica L.,회화나무,1,250,12,38,,시·군나무,대,145,공공,대구광역시 서구 평리동 707-49,대구광역시 서구 평리동 707-49,35.877223,128.562568,2023-07-13
