번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,인천광역시,옹진군,옹진군,4-10-1,1999-05-11,,노목,느티나무,Zelkova serrata Makino,느티나무,1,400,25,150,,시·군나무,임야,,개인,인천광역시 옹진군 영흥면 선재로52번길 69,인천광역시 옹진군 영흥면 선재리 126-2,37.23656335,126.5336293,2020-12-14
2,인천광역시,옹진군,옹진군,4-10-2,1999-05-11,,노목,소나무,Pinus thunbergii Parl,곰솔,1,300,25,120,,시·군나무,임야,,개인,인천광역시 옹진군 영흥면 선재로34번길 65,인천광역시 옹진군 영흥면 선재리 108-16,37.23373901,126.53734349,2020-12-14
3,인천광역시,옹진군,옹진군,4-10-3,2000-04-20,,노목,느티나무,Zelkova serrata Makino,느티나무,1,200,25,120,,시·군나무,대,,개인,인천광역시 옹진군 백령면 백령로254번길 53,인천광역시 옹진군 백령면 진촌리 804,37.97191314,124.71963524,2020-12-14
4,인천광역시,옹진군,옹진군,4-10-4,2000-04-20,,노목,소나무,Pinus densiflora,소나무,1,300,30,150,,시·군나무,임야,,개인,"인천광역시 옹진군 백령면 백령남로 736, 남포1리 다목적회관",인천광역시 옹진군 백령면 남포리 1147 남포1리 다목적회관,37.92989056,124.67210297,2020-12-14
5,인천광역시,옹진군,옹진군,4-10-5,2000-04-20,,노목,소나무,Pinus densiflora,소나무,1,200,10,70,,시·군나무,임야,,개인,인천광역시 옹진군 자월면 대이작로 144,인천광역시 옹진군 자월면 이작리 465-1,37.17353201,126.25797304,2020-12-14
6,인천광역시,옹진군,옹진군,4-10-6,2000-04-20,,노목,팽나무,Celtis choseniana,팽나무,6,600,20,180,,시·군나무,학교용지,,공공,인천광역시 옹진군 자월면 소이작로 245 (소이작분교),인천광역시 옹진군 자월면 이작리 231-5 소이작분교,37.18130459,126.22212035,2020-12-14
7,인천광역시,중구,인천 중구청,4-1-1,2015-06-29,,노목+거목,버즘나무과,Platanus,양버즘,1,132,30.5,0.47,,시·군나무,공원,,공공,인천광역시 중구 자유공원남로 25 (송학동1가),인천광역시 중구 송학동1가 11-1 제물포구락부,37.475032,126.621916,2024-07-18
8,인천광역시,중구,인천광역시 중구청,4-1-4,2019-10-31,,노목+거목,느릅나무과,Zelkova serrata,느티나무,1,300,15,1,,시·군나무,도로,,공공,인천광역시 중구 은하수로29번길 31 (중산동),인천광역시 중구 중산동 1952-4 (1952-2),37.4911046,126.5797852,2024-07-18
9,인천광역시,연수구,인천광역시 연수구,4-4-1,1982-09-29,,노목,,Zelkova Serata,느티나무,1,535,23,6.2,7.3,시·군나무,공원,,,,인천광역시 연수구 선학동 403-14,37.42659641,126.6970016466,2023-06-30
10,인천광역시,연수구,인천광역시 연수구,4-4-2,1982-09-29,,노목,,Zelkova Serata,느티나무,1,536,15.6,6.3,4.9,시·군나무,대,,,,인천광역시 연수구 청학동 541-10,37.4283158146,126.6677315542,2023-06-30
11,인천광역시,연수구,인천광역시 연수구,4-4-3,1982-09-29,,노목,,Juniperus chinensis,향나무,1,535,8,2.2,2.5,시·군나무,대,,,인천광역시 연수구 비류대로244번길 26 (청학동),인천광역시 연수구 청학동 95-3,37.4262942912,126.661858436,2023-06-30
12,인천광역시,연수구,인천광역시 연수구,4-4-4,1982-09-29,,노목,,Zelkova Serata,느티나무,1,485,31,5.1,9.8,도나무,임야,,,,인천광역시 연수구 동춘동 산54,37.40743203887,126.6647351107,2023-06-30
13,인천광역시,연수구,인천광역시 연수구,4-4-5,1982-09-29,,노목,,Pinus densiflora,소나무,1,335,7.3,1.7,2.3,도나무,대,,,"인천광역시 연수구 원인재로 263, 인천적십자병원 (연수동)",인천광역시 연수구 연수동 220 인천적십자병원,37.41827041,126.689622,2023-06-30
14,인천광역시,연수구,인천광역시 연수구,4-4-6,1982-09-29,,노목,,Pinus densiflora,소나무,1,320,7,1.7,2.2,도나무,대,,,"인천광역시 연수구 원인재로 263, 인천적십자병원 (연수동)",인천광역시 연수구 연수동 220 인천적십자병원,37.41827041,126.689622,2023-06-30
15,인천광역시,연수구,인천광역시 연수구,4-4-7,1982-09-29,,노목,,Zelkova Serata,느티나무,1,279,20,5,6.3,시·군나무,공원,,,,인천광역시 연수구 선학동 403-14,37.4265964095,126.6970016466,2023-06-30
16,인천광역시,연수구,인천광역시 연수구,4-4-8,1982-09-29,,노목,,Zelkova Serata,느티나무,1,285,15,2.5,4.7,시·군나무,공원,,,,인천광역시 연수구 선학동 403-14,37.4265964095,126.6970016466,2023-06-30
17,인천광역시,서구,인천광역시 서구청,2004-08-01,1982-09-29,,노목+거목,은행나무과,Ginkgo biloba L.,은행나무,1,500,20,600,,도나무,전,,개인,인천광역시 서구 대곡로 228-9,인천광역시 서구 대곡동 250,37.62823656,126.667726,2019-09-03
18,인천광역시,서구,인천광역시 서구청,2004-08-02,1982-09-29,,노목+거목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티나무,1,500,20,170,,도나무,임야,,개인,인천광역시 서구 대곡로368번안길 11,인천광역시 서구 대곡동 산120-1,37.63173352,126.6580401,2019-09-03
19,인천광역시,서구,인천광역시 서구청,2004-08-03,1982-09-29,,노목+거목,참나무과,Quercus acutissima Carruth,상수리나무,1,300,18,280,,시·군나무,임야,,개인,,인천광역시 서구 검암동 524-1,37.5650553,126.6779166,2019-09-03
20,인천광역시,서구,인천광역시 서구청,2004-08-04,1982-09-29,,노목+거목,은행나무과,Ginkgo biloba L.,은행나무,1,300,23,300,,시·군나무,임야,,개인,,인천광역시 서구 불로동 산77-5,37.610819,126.686197,2019-09-03
21,인천광역시,서구,인천광역시 서구청,2004-08-05,1982-09-29,,노목+거목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티나무,1,300,20,350,,시·군나무,임야,,개인,,인천광역시 서구 당하동 357-41,37.5836569,126.7130759,2019-09-03
22,인천광역시,서구,인천광역시 서구청,2004-08-06,1982-09-29,,노목+거목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티나무,1,250,20,250,,면나무,답,,공공,,인천광역시 서구 시천동 178-73,37.5730695,126.6749958,2019-09-03
23,인천광역시,서구,인천광역시 서구청,2004-08-07,1982-09-29,,노목+거목,층층나무과,Cornus officinalis Siebold & Zucc.,산수유(대),1,100,7.5,120,,면나무,답,,공공,,인천광역시 서구 시천동 178-73,37.5730695,126.6749958,2019-09-03
24,인천광역시,서구,인천광역시 서구청,2004-08-08,1982-09-29,,노목+거목,층층나무과,Cornus officinalis Siebold & Zucc.,산수유(소),1,250,7.5,56,,면나무,답,,공공,,인천광역시 서구 시천동 178-73,37.5730695,126.6749958,2019-09-03
25,인천광역시,서구,인천광역시 서구청,2004-08-09,1989-09-29,,노목+거목,콩과,Sophora Japonica L.,회화나무(소),1,250,20,89,,면나무,답,,공공,,인천광역시 서구 시천동 178-73,37.5730695,126.6749958,2019-09-03
26,인천광역시,서구,인천광역시 서구청,2004-08-10,1989-09-29,,노목+거목,콩과,Sophora Japonica L.,회화나무(대),1,250,22,127,,면나무,답,,공공,,인천광역시 서구 시천동 178-73,37.5730695,126.6749958,2019-09-03
27,인천광역시,서구,인천광역시 서구청,2004-08-11,1982-09-29,,노목+거목,은행나무과,Ginkgo biloba L.,은행나무,1,300,22,150,,면나무,답,,공공,,인천광역시 서구 시천동 178-73,37.5730695,126.6749958,2019-09-03
28,인천광역시,서구,인천광역시 서구청,2004-08-12,1982-09-29,,노목+거목,두릅나무과,Kalopanax septemlobus(Thunb.) Koidz.,음나무,1,200,15,280,,면나무,답,,개인,,인천광역시 서구 경서동 11,37.5605484,126.6700451,2019-09-03
29,인천광역시,서구,인천광역시 서구청,2004-08-14,1982-09-15,,노목+거목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티나무,1,200,23,300,,면나무,전,,개인,,인천광역시 서구 대곡동 산124,37.6287353,126.6549998,2019-09-03
30,인천광역시,계양구,인천광역시 계양구청,2004-07-03,2019-10-29,,노목,측백나무과,Juniperus chinensis L,향나무,1,250,10,2.4,0,도나무,공원,490.3,공공,인천광역시 계양구 양지로 57번길 일원,인천광역시 계양구 동양동 595,37.56378,126.7556,2024-08-02
31,인천광역시,계양구,인천광역시 계양구청,2004-07-02,1999-05-01,,노목,느릅나무과,Zelkova serrata Makino,느티나무,1,700,10.5,5.3,0,도나무,대,245,공공,인천광역시 계양구 향교로 27번길 일원,인천광역시 계양구 계산동 974-24,37.54074,126.72089,2024-08-02
32,인천광역시,계양구,인천광역시 계양구청,2004-07-01,1999-05-01,,노목,은행나무과,Ginkgo biloba L,은행나무,1,500,20.5,6.3,0,도나무,학교용지,0,공공,인천광역시 계양구 어사대로 20,인천광역시 계양구 계산동 943,37.54143,126.72404,2024-08-02
33,인천광역시,남동구,인천광역시 남동구청,2004-05-05,1982-09-29,,노목,Pinus,Pinus densiflora,소나무,3,150,8.5,1.6,10,마을나무,임야,1992,개인,,인천광역시 남동구 운연동 258-13,37.4364533,126.7646741,2024-07-01
