번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,광주광역시,동구,광주 동구청,1982-1,1982-12-03,,노목+거목,,,느티나무,1,400,20,1,,시·군나무,도로,,공공,,용연동 650,35.09351,126.96252,2020-08-19
2,광주광역시,동구,광주 동구청,1982-2,1982-12-03,,노목+거목,,,느티나무,1,420,20,1.6,,마을나무,잡종지,,단체,,내남동 570-1,35.08801,126.93191,2020-08-19
3,광주광역시,동구,광주 동구청,1982-3,1982-12-03,,노목+거목,,,느티나무,1,450,28,1.5,,마을나무,대,,단체,,운림동 46,35.12625,126.97161,2020-08-19
4,광주광역시,동구,광주 동구청,1982-4,1982-12-03,,노목+거목,,,느티나무,1,400,18,1.6,,마을나무,답,,개인,,월남동 산215,35.10557,126.92824,2020-08-19
5,광주광역시,동구,광주 동구청,1982-5,1982-12-03,,노목+거목,,,버드나무,1,200,20,1.3,,시·군나무,구거,,공공,,소태동 855-77,35.13139,126.93832,2020-08-19
6,광주광역시,동구,광주 동구청,1982-6,1982-12-03,,노목+거목,,,느티나무,1,450,20,1.6,,시·군나무,도로,,공공,,운림동 858-11,35.13270,126.94385,2020-08-19
7,광주광역시,동구,광주 동구청,1982-7,1982-12-03,,노목+거목,,,은행나무,1,300,18,0.8,,시·군나무,대,,공공,,광산동 13,35.14730,126.92017,2020-08-19
8,광주광역시,동구,광주 동구청,1982-8,1982-12-03,,노목+거목,,,은행나무,1,300,20,0.7,,시·군나무,대,,공공,,광신동 13,35.14720,126.92011,2020-08-19
9,광주광역시,동구,광주 동구청,1982-9,1982-12-03,,노목+거목,,,느티나무,1,400,15,1.0,,시·군나무,도로,,공공,,용산동 648,35.11901,126.93117,2020-08-19
10,광주광역시,동구,광주 동구청,1982-10,1982-12-03,,노목+거목,,,느티나무,1,400,15,0.9,,시·군나무,도로,,공공,,용산동 648,35.11902,126.93122,2020-08-19
11,광주광역시,남구,광주광역시 남구청,1982-23,1982-12-03,,거목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티나무,1,160,12,3.8,,마을나무,도로,,공공,,광주광역시 남구 지석동 392-5,.,.,2021-05-06
12,광주광역시,남구,광주광역시 남구청,1982-21,1982-12-03,,거목,은행나무과,Ginkgo biloba L.,은행나무,1,200,15,2.5,,면나무,종교용지,,단체,"광주광역시 남구 중앙로107번길 5, 광주향교 (구동)",광주광역시 남구 구동 22-3 광주향교,35.1459416863,126.9092772874,2021-05-06
13,광주광역시,남구,광주광역시 남구청,1982-18,1982-12-03,,거목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티나무,1,400,25,7.1,,시·군나무,대,,단체,"광주광역시 남구 대지하촌길 1, 대지2리마을회관 (대지동)",광주광역시 남구 대지동 649 대지2리마을회관,35.0736717142,126.8183862822,2021-05-06
14,광주광역시,남구,광주광역시 남구청,1982-16,1982-12-03,,노목,물푸레나무과,Chionanthus retusus Lindl. &amp; Paxton,이팝나무,1,350,8,2.1,,시·군나무,구거,,공공,,광주광역시 남구 도금동 451-6,.,.,2021-05-06
15,광주광역시,남구,광주광역시 남구청,2010-04,2010-07-26,,거목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티나무,1,700,25,6,,도나무,제방,,공공,,광주광역시 남구 도금동 121,.,.,2021-05-06
16,광주광역시,남구,광주광역시 남구청,2010-03,2010-07-26,,노목,측백나무과,Thuja orientalis L.,측백나무,1,250,18,1,,면나무,종교용지,,단체,"광주광역시 남구 중앙로107번길 5, 광주향교 (구동)",광주광역시 남구 구동 22-3 광주향교,35.1459416863,126.9092772874,2021-05-06
17,광주광역시,남구,광주광역시 남구청,1982-24,1982-12-03,,거목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티나무,1,180,18,5.2,,마을나무,구거,,공공,,광주광역시 남구 대지동 727,.,.,2021-05-06
18,광주광역시,남구,광주광역시 남구청,1982-22,1982-12-03,2019-03-19,거목,소나무과,Pinus densiflora f. multicaulis Uyeki,반송,1,250,8,3.8,,면나무,임야,,단체,,광주광역시 남구 석정동 361-7,.,.,2021-05-06
19,광주광역시,남구,광주광역시 남구청,1982-20,1982-12-03,,거목,느릅나무과,Zelkova serrata (Thunb.) Makino,느티나무,1,300,15,3.6,,시·군나무,잡종지,,공공,,광주광역시 남구 노대동 434,.,.,2021-05-06
20,광주광역시,남구,광주광역시 남구청,1982-17,1982-12-03,,노목,참나무과,Quercus variabilis Blume,굴참나무,1,350,9,2.5,,시·군나무,임야,,단체,,광주광역시 남구 양과동 산 77-1 (향등),.,.,2021-05-06
