번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,울산광역시,울주군,울산광역시 울주군청,7-28(12-28),1982-11-10,,노목,,,갈참나무,1,400,19,4.2,,시·군나무,임야,,,,울산광역시 울주군 웅촌면 고연리 1570,35.4495304616,129.1600773371,2020-01-01
2,울산광역시,울주군,울산광역시 울주군청,7-15-11(12-15-2),1982-11-10,,노목,,,팽나무,1,500,14,5.4,,시·군나무,공원,,,,울산광역시 울주군 삼남읍 신화리 1604-1,35.549462,129.140919,2020-01-01
3,울산광역시,울주군,울산광역시 울주군청,7-5-9-1(12-15-4-1),1982-11-10,,노목,,,팽나무,1,400,10,2.9,,면나무,임야,,,,울산광역시 울주군 온양읍 남창리 181,35.4166068941,129.2818852612,2020-01-01
4,울산광역시,울주군,울산광역시 울주군청,7-5-10-1(12-15-9-1),1982-11-10,,노목,,,느티나무,1,400,16,7.2,,면나무,잡종지,,,,울산광역시 울주군 두서면 미호리 164-11,35.6780214390,129.1754618392,2020-01-01
5,울산광역시,울주군,울산광역시 울주군청,7-5-2-1(12-15-10-1),1982-11-10,,노목,,,왕버들,1,200,9,5.2,,면나무,도로,,,,울산광역시 울주군 언양읍 반연리 362-6,35.5715592034,129.1864792711,2020-01-01
6,울산광역시,울주군,울산광역시 울주군청,7-5-10-1(12-15-11-1),1982-11-10,,노목,,,느티나무,1,350,36,7,,면나무,학교용지,,,울산광역시 울주군 상북면 소호당리길 1,울산광역시 울주군 상북면 소호리 376-3,35.6707456724,129.0860696060,2020-01-01
7,울산광역시,울주군,울산광역시 울주군청,7-5-9-16-1(12-15-9-16-1),1982-11-10,,노목,,,굴피나무,1,300,15,3.8,,면나무,임야,,,울산광역시 울주군 두서면 양지편2길 12,울산광역시 울주군 두서면 전읍리 산140-2,35.6699725961,129.1672729112,2020-01-01
8,울산광역시,울주군,울산광역시 울주군청,7-5-2-13-2(12-15-10-13-2),1982-11-10,,노목,,,감나무,1,200,12,3.3,,면나무,학교용지,,,울산광역시 울주군 언양읍 샘소3길 19,울산광역시 울주군 언양읍 반천리 438,35.5564289822,129.1831333039,2020-01-01
9,울산광역시,울주군,울산광역시 울주군청,2010-02,2010-12-24,,노목,,,갈참나무,1,300,16,3.5,,면나무,체육용지,,,울산광역시 울주군 언양읍 샘소3길 25,울산광역시 울주군 언양읍 반천리 107,35.5554393985,129.1836759916,2020-01-01
10,울산광역시,울주군,울산광역시 울주군청,2010-03,2010-12-24,,노목,,,팽나무,1,450,22,6,,면나무,전,,,,울산광역시 울주군 온양읍 운화리 1313,35.3985443752,129.2316185376,2020-01-01
11,울산광역시,울주군,울산광역시 울주군청,2010-04,2010-12-24,,노목,,,팽나무,1,250,20,4.4,,면나무,묘지,,,,울산광역시 울주군 온양읍 망양리 159-1,35.4521432777,129.2951021540,2020-01-01
12,울산광역시,울주군,울산광역시 울주군청,2010-05,2010-12-24,,노목,,,"굴참,곰솔",2,250,20,2.4,,면나무,하천,,,,울산광역시 울주군 온양읍 망양리 725-144,35.4484375549,129.2966754601,2020-01-01
13,울산광역시,울주군,울산광역시 울주군청,2010-06,2010-12-24,,노목,,,곰 솔,1,200,10,3,,면나무,도로,,,,울산광역시 울주군 서생면 위양리 1264,35.3607578004,129.2980659728,2020-01-01
14,울산광역시,울주군,울산광역시 울주군청,2010-07,2010-12-24,,노목,,,곰 솔,2,400,18,4.0,,면나무,임야,,,,울산광역시 울주군 서생면 신암리 811-1,35.3431158775,129.3180374910,2020-01-01
15,울산광역시,울주군,울산광역시 울주군청,2010-08,2010-12-24,,노목,,,반 송,1,100,12,4.6,,면나무,대,,,울산광역시 울주군 서생면 윗술마길 26,울산광역시 울주군 서생면 화정리 836-3,35.4010672150,129.3099583786,2020-01-01
16,울산광역시,울주군,울산광역시 울주군청,2010-09,2010-12-24,,노목,,,곰 솔,1,150,20,3.4,,면나무,하천,,,,울산광역시 울주군 청량읍 율리 1283-22,35.5199901130,129.2431090523,2020-01-01
17,울산광역시,울주군,울산광역시 울주군청,2010-10,2010-12-24,,노목,,,"이팝,느티나무",2,100,15,3.0,,면나무,임야,,,,울산광역시 울주군 청량읍 문죽리 352,35.5171062344,129.2703552655,2020-01-01
18,울산광역시,울주군,울산광역시 울주군청,2010-11,2010-12-24,,노목,,,청실배나무,1,150,15,2.3,,면나무,과수원,,,,울산광역시 울주군 청량읍 율리 940-6,35.5297765838,129.2287756553,2020-01-01
19,울산광역시,울주군,울산광역시 울주군청,2010-12,2010-12-24,,노목,,,무궁화나무,1,100,5,0.35,,면나무,대,,,울산광역시 울주군 웅촌면 대복동천로 160-12,울산광역시 울주군 웅촌면 석천리 385,35.4700217869,129.2346253796,2020-01-01
20,울산광역시,울주군,울산광역시 울주군청,2010-13,2010-12-24,,노목,,,"서어,회화,팽나무",3,300,20,3.2,,면나무,임야,,,,울산광역시 울주군 두동면 천전리 488,35.6174342638,129.1576738385,2020-01-01
21,울산광역시,울주군,울산광역시 울주군청,2010-14,2010-12-24,,노목,,,느티나무,3,400,20,4.2,,면나무,임야,,,,울산광역시 울주군 두동면 봉계리 산138,35.7103245006,129.2008213292,2020-01-01
22,울산광역시,울주군,울산광역시 울주군청,2010-15,2010-12-24,,노목,,,왕버들,1,150,12,5.7,,면나무,하천,,,,울산광역시 울주군 두동면 봉계리 379,35.7183724226,129.2078564111,2020-01-01
23,울산광역시,울주군,울산광역시 울주군청,2010-16,2010-12-24,,노목,,,"회화,팽나무",2,150,20,3.6,,면나무,종교용지,,,,울산광역시 울주군 두서면 구량리 485,35.6198648957,129.1430256263,2020-01-01
24,울산광역시,울주군,울산광역시 울주군청,2010-17,2010-12-24,,노목,,,팽나무,1,150,14,3.5,,면나무,학교용지,,,울산광역시 울주군 두서면 활천내와로 50,울산광역시 울주군 두서면 활천리 329-1,35.7065442767,129.1914461700,2020-01-01
