번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,세종특별자치시,없음,세종특별자차시,세종-64,2022-05-24,,노목,,,왕버들,1,181,20,100,,도나무,하천,,,,세종특별자치시 어진동 761,36.50,127.259867,2023-07-11
2,세종특별자치시,없음,세종특별자차시,세종-1,1972-07-03,,거목,,,느티나무,1,781,11,380,,도나무,임야,,,,세종특별자치시 연서면 쌍류리 산72,36.60,127.208152,2023-07-11
3,세종특별자치시,없음,세종특별자차시,세종-2,1971-04-09,,노목,,,느티나무,1,456,15,150,,도나무,도로,,,,세종특별자치시 금남면 감성리 267-7,36.44,127.315120,2023-07-11
4,세종특별자치시,없음,세종특별자차시,세종-3,1980-07-15,,노목,,,느티나무,1,588,20,240,,도나무,대,,,,세종특별자치시 금남면 영치리 352-1,36.45,127.296452,2023-07-11
5,세종특별자치시,없음,세종특별자차시,세종-4,1972-07-03,,노목,,,느티나무,1,864,15,710,,도나무,답,,,,세종특별자치시 전의면 다방리 3,36.61,127.191742,2023-07-11
6,세종특별자치시,없음,세종특별자차시,세종-5,1972-07-03,,노목,,,느티나무,1,461,16,480,,시·군나무,임야,,,,세종특별자치시 연서면 청라리 317,36.58,127.197525,2023-07-11
7,세종특별자치시,없음,세종특별자차시,세종-6,1972-07-03,,노목,,,느티나무,1,531,24,570,,시·군나무,대,,,,세종특별자치시 연서면 와촌리 647-1,36.9,127.302802,2023-07-11
8,세종특별자치시,없음,세종특별자차시,세종-7,1972-07-03,,노목,,,느티나무,1,456,1500,150,,시·군나무,임야,,,,세종특별자치시 금남면 금천리 270-1,36.44,127.315347,2023-07-11
9,세종특별자치시,없음,세종특별자차시,세종-8,1972-07-03,,노목,,,은행나무,1,500,20,192,,시·군나무,대,,,,세종특별자치시 금남면 영곡리 580-2,36.45,127.255194,2023-07-11
10,세종특별자치시,없음,세종특별자차시,세종-9,1972-07-03,,노목,,,은행나무,1,451,25,450,,시·군나무,구거,,,,세종특별자치시 소정면 대곡리 560(178-3 인접),36.72,127.168945,2023-07-11
11,세종특별자치시,없음,세종특별자차시,세종-10,1996-11-29,,노목,,,느티나무,1,327,20,515,,시·군나무,답,,,,세종특별자치시 전동면 송성리 750,30.64,127.219222,2023-07-11
12,세종특별자치시,없음,세종특별자차시,세종-11,1996-11-29,,노목,,,느티나무,1,327,12,510,,시·군나무,도로,,,,세종특별자치시 전동면 석곡리 359-2,36.65,127.251475,2023-07-11
13,세종특별자치시,없음,세종특별자차시,세종-12,1972-07-03,,거목,,,버드나무,1,271,7,490,,시·군나무,전,,,,세종특별자치시 조치원읍 서창리 42-104,36.61,127.294708,2023-07-11
14,세종특별자치시,없음,세종특별자차시,세종-13,1972-07-03,,노목,,,향나무,1,341,7,190,,시·군나무,대,,,,세종특별자치시 연서면 월하리 산129-10,36.57,127.29619,2023-07-11
15,세종특별자치시,없음,세종특별자차시,세종-14,1972-07-03,,거목,,,느티나무,1,271,12,700,,시·군나무,전,,,,세종특별자치시 연서면 고복리 295,36.60,127.254508,2023-07-11
16,세종특별자치시,없음,세종특별자차시,세종-15,1972-07-03,,거목,,,느티나무,1,341,15,455,,시·군나무,도로,,,,세종특별자치시 금남면 신촌리 63-1,36.58,127.304171,2023-07-11
17,세종특별자치시,없음,세종특별자차시,세종-16,1972-07-03,,거목,,,느티나무,1,331,15,405,,시·군나무,전,,,,세종특별자치시 금남면 영곡리 550,36.45,127.251961,2023-07-11
18,세종특별자치시,없음,세종특별자차시,세종-17,1972-07-03,,거목,,,느티나무,1,261,14,412,,시·군나무,도로,,,,세종특별자치시 금남면 영곡리 67-1,36.59,127.297263,2023-07-11
19,세종특별자치시,없음,세종특별자차시,세종-18,1982-10-15,,희귀목,,,주목나무,2,91,8,115,,시·군나무,대,,,,세종특별자치시 전동면 노장리 583,36.65,127.234385,2023-07-11
20,세종특별자치시,없음,세종특별자차시,세종-19,1972-07-03,,거목,,,느티나무,1,341,18,700,,시·군나무,대,,,,세종특별자치시 전의면 읍내리 183,36.68,127.202753,2023-07-11
21,세종특별자치시,없음,세종특별자차시,세종-20,1996-11-29,,거목,,,느티나무,1,397,17,710,,시·군나무,전,,,,세종특별자치시 전동면 심중리 173,36.34,127.281053,2023-07-11
22,세종특별자치시,없음,세종특별자차시,세종-21,1972-07-03,,거목,,,느티나무,1,430,20,195,,마을나무,잡종지,,,,세종특별자치시 연동면 노송리 136-5,36.59,127.29364,2023-07-11
