번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,강원특별자치도,홍천군,홍천군,강원-홍천-1,1982-11-13,,노목,,,느티나무,1,336,19,2.5,,시·군나무,대,,,강원특별자치도 홍천군 홍천읍 석화로 101-14,강원특별자치도 홍천군 홍천읍 희망리 174,37.41500,127.532200,2022-01-20
2,강원특별자치도,홍천군,홍천군,강원-홍천-2,1982-11-13,,노목,,,느티나무,1,336,19,2.2,,시·군나무,대,,,강원특별자치도 홍천군 홍천읍 석화로 101-14,강원특별자치도 홍천군 홍천읍 희망리 174,37.41500,127.532200,2022-01-20
3,강원특별자치도,홍천군,홍천군,강원-홍천-3,1982-11-13,,노목,,,느티나무,1,336,15,3.7,,시·군나무,전,,,,강원특별자치도 홍천군 서면 두미리 284-3,37.40250,127.401500,2022-01-20
4,강원특별자치도,홍천군,홍천군,강원-홍천-4,1982-11-13,,노목,,,느티나무,1,336,26,8.2,,시·군나무,전,,,강원특별자치도 홍천군 북방면 송학정로 107-17,강원특별자치도 홍천군 북방면 하화계리 252-4,37.41250,127.513000,2022-01-20
5,강원특별자치도,홍천군,홍천군,강원-홍천-5,1982-11-13,,노목,,,느릅나무,1,336,21,3.25,,시·군나무,도로,,,,강원특별자치도 홍천군 내면 율전리 1210-17,37.46030,128.174500,2022-01-20
6,강원특별자치도,홍천군,홍천군,강원-홍천-6,1982-11-13,,노목,,,느티나무,1,436,13,6.08,,시·군나무,임야,,,강원특별자치도 홍천군 서면 보리울길76번길 30,강원특별자치도 홍천군 서면 모곡리 50-2,37.41210,127.360400,2022-01-20
7,강원특별자치도,홍천군,홍천군,강원-홍천-7,1982-11-13,,노목,,,느티나무,1,236,18,7.94,,시·군나무,전,,,,강원특별자치도 홍천군 서면 동막리 236-1,37.40360,127.344700,2022-01-20
8,강원특별자치도,홍천군,홍천군,강원-홍천-9,1985-03-21,,노목,,,소나무,1,153,6,2.4,,마을나무,임야,,,강원특별자치도 홍천군 화촌면 성산로 210-13,강원특별자치도 홍천군 화촌면 성산리 산18,37.46280,127.584200,2022-01-20
9,강원특별자치도,홍천군,홍천군,강원-홍천-10,1999-11-13,,노목,,,느티나무,1,219,20,4.5,,시·군나무,대,,,강원특별자치도 홍천군 남면 시동안로125번길 82,강원특별자치도 홍천군 남면 시동리 999-1,37.36000,127.492500,2022-01-20
10,강원특별자치도,홍천군,홍천군,강원-홍천-11,1999-11-13,,노목,,,음나무,1,369,25,2.5,,면나무,임야,,,,강원특별자치도 홍천군 두촌면 장남리 산98,37.55080,128.014600,2022-01-20
11,강원특별자치도,홍천군,홍천군,강원-홍천-12,2000-06-03,,노목,,,느티나무,1,218,20,4.5,,면나무,전,,,,강원특별자치도 홍천군 화촌면 구성포리 600,37.45180,127.563300,2022-01-20
12,강원특별자치도,홍천군,홍천군,강원-홍천-13,2000-06-03,,노목,,,느티나무,1,268,17,3.5,,면나무,전,,,,강원특별자치도 홍천군 화촌면 구성포리 447,37.45260,127.563800,2022-01-20
13,강원특별자치도,홍천군,홍천군,강원-홍천-14,2000-06-03,,노목,,,소나무,1,168,8,1.5,,면나무,전,,,,강원특별자치도 홍천군 화촌면 굴운리 462-3,37.44130,127.571000,2022-01-20
