번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,충청북도,단양군,단양군,단양-16,1993-08-28,,노목,,pinus densiflora,소나무,1,226,1200,210,,마을나무,대,,,단양군 대강면 장정리 70,,36.850024,128.397096,2019-12-31
2,충청북도,단양군,단양군,단양-16,1993-08-28,,노목,,pinus densiflora,소나무,1,226,1200,210,,마을나무,대,,,단양군 대강면 장정리 70,,36.850024,128.397096,2019-12-31
3,충청북도,단양군,단양군,단양-17,1982-11-11,,노목,,Zelkova serrata MAKINO,느티나무,1,337,2000,460,,마을나무,전,,,단양군 가곡면 대리리 576,,37.009291,128.404617,2019-12-31
4,충청북도,단양군,단양군,단양-19,1993-08-29,,노목,,Zelkova serrata MAKINO,느티나무,1,326,2000,650,,마을나무,대,,,단양군 가곡면 사평리 701,,37.023701,128.384687,2019-12-31
5,충청북도,단양군,단양군,단양-20,1993-08-28,,노목,,Ulmus parvifolia Jacquin,느릅나무,1,526,2000,590,,마을나무,대,,,단양군 가곡면 가대리 755-7,,37.048835,128.390579,2019-12-31
6,충청북도,단양군,단양군,단양-21,1993-08-28,,노목,,Zelkova serrata MAKINO,느티나무,1,226,1800,620,,마을나무,전,,,단양군 가곡면 보발리 797,,37.040634,128.443366,2019-12-31
7,충청북도,단양군,단양군,단양-23,1993-08-28,,노목,,Ulmus davidiana var. japonica,느릅나무,1,326,2700,770,,마을나무,대,,,단양군 가곡면 향산리 602,,37.054262,128.415665,2019-12-31
8,충청북도,단양군,단양군,단양-24,1982-11-11,,노목,,Zelkova serrata MAKINO,느티나무,1,337,2000,560,,마을나무,대,,,단양군 영춘면 사이곡리 368-2,,37.120369,128.396340,2019-12-31
9,충청북도,단양군,단양군,단양-25,1982-11-11,,노목,,Zelkova serrata MAKINO,느티나무,1,437,2000,600,,마을나무,전,,,단양군 영춘면 사이곡리 618,,37.119054,128.391572,2019-12-31
10,충청북도,단양군,단양군,단양-27,1982-11-11,,노목,,Zelkova serrata MAKINO,느티나무,1,337,2000,620,,마을나무,대,,,단양군 영춘면 만종리 483,,37.107349,128.388947,2019-12-31
11,충청북도,단양군,단양군,단양-29,1993-08-28,,노목,,Zelkova serrata MAKINO,느티나무,1,326,2000,690,,마을나무,대,,,단양군 영춘면 용진리 답,,37.089469,128.510980,2019-12-31
12,충청북도,단양군,단양군,단양-30,1993-08-28,,노목,,Zelkova serrata MAKINO,느티나무,1,326,1500,380,,마을나무,대,,,단양군 영춘면 하리리 287,,37.075567,128.490418,2019-12-31
13,충청북도,단양군,단양군,단양-31,1993-08-28,,노목,,Zelkova serrata MAKINO,느티나무,1,276,2000,390,,마을나무,대,,,단양군 영춘면 동대리 514,,37.061579,128.551674,2019-12-31
14,충청북도,단양군,단양군,단양-32,1982-11-11,,노목,,Zelkova serrata MAKINO,느티나무,1,337,2000,660,,마을나무,임야,,,단양군 어상천면 대전리 680,,37.127079,128.339292,2019-12-31
15,충청북도,단양군,단양군,단양-33,1993-08-28,,노목,,Zelkova serrata MAKINO,느티나무,2,226,2500,600,,마을나무,대,,,단양군 어상천면 대전리 680,,37.127079,128.339292,2019-12-31
16,충청북도,단양군,단양군,단양-35,1982-11-11,,노목,,Zelkova serrata MAKINO,느티나무,4,187,2000,450,,마을나무,대,,,단양군 어상천면 방북리 3,,37.061222,128.365571,2019-12-31
17,충청북도,단양군,단양군,단양-36,1993-08-28,,노목,,,돌배나무,1,326,1500,240,,마을나무,대,,,단양군 어상천면 방북리 165,,37.085242,128.358307,2019-12-31
18,충청북도,단양군,단양군,단양-37,1993-08-28,,노목,,Zelkova serrata MAKINO,느티나무,1,226,1500,240,,마을나무,대,,,단양군 어상천면 임현리 142,,37.089790,128.371037,2019-12-31
19,충청북도,단양군,단양군,단양-38,1982-11-11,,노목,,Zelkova serrata MAKINO,느티나무,1,287,1400,400,,마을나무,대,,,단양군 어상천면 임현리 315-1,,37.100381,128.360896,2019-12-31
20,충청북도,단양군,단양군,단양-39,1993-08-28,,노목,,Zelkova serrata MAKINO,느티나무,1,276,1400,290,,마을나무,대,,,단양군 어상천면 임현리 462-2,,37.102595,128.356702,2019-12-31
21,충청북도,단양군,단양군,단양-40,1993-08-28,,노목,,Zelkova serrata MAKINO,느티나무,1,226,2000,460,,마을나무,종교용지,,,단양군 어상천면 임현리 194-1,,37.094136,128.367487,2019-12-31
22,충청북도,단양군,단양군,단양-41,1993-08-28,,노목,,Zelkova serrata MAKINO,느티나무,1,226,2000,340,,마을나무,대,,,단양군 어상천면 석교리 106,,37.135854,128.327988,2019-12-31
23,충청북도,단양군,단양군,단양-43,1993-08-28,,노목,,Hemiptelea davidii (Hance) Planch.,시무나무,1,126,1500,240,,마을나무,전,,,단양군 어상천면 연곡리 1332-8,,37.086953,128.329423,2019-12-31
24,충청북도,단양군,단양군,단양-44,1998-10-28,,노목,,Zelkova serrata MAKINO,느티나무,1,221,2000,510,,마을나무,대,,,단양군 어상천면 연곡리 산137,,37.091556,128.331912,2019-12-31
25,충청북도,단양군,단양군,단양-45,1982-11-11,,노목,,Zelkova serrata MAKINO,느티나무,1,237,2000,620,,마을나무,답,,,단양군 적성면 대가리 285,,37.038870,128.257564,2019-12-31
26,충청북도,단양군,단양군,단양-46,1993-08-28,,노목,,Zelkova serrata MAKINO,느티나무,1,226,2000,700,,마을나무,전,,,단양군 적성면 상리 604,,36.972437,128.276968,2019-12-31
27,충청북도,단양군,단양군,단양-47,1993-08-28,,노목,,Zelkova serrata MAKINO,느티나무,2,226,2000,660,,마을나무,전,,,단양군 적성면 각기리 239-2,,37.015432,128.283535,2019-12-31
28,충청북도,단양군,단양군,단양-48,1993-08-28,,노목,,Zelkova serrata MAKINO,느티나무,1,226,2000,590,,마을나무,대,,,단양군 적성면 하원곡리 434,,37.039291,128.242175,2019-12-31
29,충청북도,단양군,단양군,단양-49,1995-06-20,,노목,,pinus densiflora,소나무,1,274,1600,280,,마을나무,전,,,단양군 적성면 하리 263,,36.958919,128.290772,2019-12-31
