번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,충청남도,공주시,공주시청,4ㅡ1,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,315,12,6,,마을나무,대,,,충청남도 공주시 계룡면화은리 466-2,,36.421647,127.147434,2019-09-25
2,충청남도,공주시,공주시청,3ㅡ12,2007-08-01,,노목,,pinus densiflora,소나무,1,185,14,5.5,,마을나무,임야,,,충청남도 공주시 탄천면대학리 산79,,36.365061,126.992111,2019-09-25
3,충청남도,공주시,공주시청,3ㅡ10,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,285,13,7,,마을나무,임야,,,충청남도 공주시 탄천면대학리 214-13,,36.379054,127.014735,2019-09-25
4,충청남도,공주시,공주시청,3ㅡ9,1982-10-01,,노목,,Ginkgo bilobar,은행나무,1,435,15,7.5,,마을나무,임야,,,충청남도 공주시 탄천면견동리 221-3,,36.355455,126.999082,2019-09-25
5,충청남도,공주시,공주시청,3ㅡ8,1982-10-01,,노목,,Sailx Koreensis ANDERSS,버드나무,1,235,9,5.3,,마을나무,구거,,,충청남도 공주시 탄천면송학리 558-4,,36.340912,127.014563,2019-09-25
6,충청남도,공주시,공주시청,3ㅡ7,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,3,285,14,6.9,,마을나무,임야,,,충청남도 공주시 탄천면송학리 산66-1,,36.340528,127.016953,2019-09-25
7,충청남도,공주시,공주시청,3ㅡ6,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,335,12,3.1,,마을나무,임야,,,충청남도 공주시 탄천면삼각리 산85-5,,36.341155,127.031199,2019-09-25
8,충청남도,공주시,공주시청,3ㅡ5,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,415,13,12,,마을나무,묘지,,,충청남도 공주시 탄천면광명리 570,,36.327078,127.054761,2019-09-25
9,충청남도,공주시,공주시청,3ㅡ4,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,415,12,7.5,,마을나무,임야,,,충청남도 공주시 탄천면광명리 산65-2,,36.327557,127.066163,2019-09-25
10,충청남도,공주시,공주시청,3ㅡ3,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,585,8,12,,마을나무,도로,,,충청남도 공주시 탄천면남산리 821,,36.284721,127.031852,2019-09-25
11,충청남도,공주시,공주시청,3ㅡ2,1982-10-01,,노목,,Sailx Koreensis ANDERSS,버드나무,1,265,11,4.1,,마을나무,도로,,,충청남도 공주시 탄천면덕지리 628-23,,36.293563,127.052913,2019-09-25
12,충청남도,공주시,공주시청,3ㅡ1,1982-10-01,,노목,,Sailx Koreensis ANDERSS,버드나무,1,235,7,6.9,,마을나무,하천,,,충청남도 공주시 탄천면안영리 39-1,,36.305848,127.070281,2019-09-25
13,충청남도,공주시,공주시청,2ㅡ13,1982-10-01,,노목,,Sailx Koreensis ANDERSS,버드나무,1,385,7,8.8,,마을나무,도로,,,충청남도 공주시 이인면신영리 687,,36.332133,127.096336,2019-09-25
14,충청남도,공주시,공주시청,2ㅡ12,1982-10-01,,노목,,Certs sinensis,팽나무,1,215,10,4,,마을나무,대,,,충청남도 공주시 이인면반송리 18-1,,36.352576,127.098272,2019-09-25
15,충청남도,공주시,공주시청,2ㅡ11,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,275,6,4,,마을나무,도로,,,충청남도 공주시 이인면용성리 562-5,,36.378732,127.078307,2019-09-25
16,충청남도,공주시,공주시청,2ㅡ10,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,185,9,3.4,,마을나무,도로,,,충청남도 공주시 이인면복룡리 656,,36.334613,127.079637,2019-09-25
17,충청남도,공주시,공주시청,2ㅡ9,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,485,11,14,,마을나무,대,,,충청남도 공주시 이인면달산리 234,,36.356191,127.045066,2019-09-25
18,충청남도,공주시,공주시청,2ㅡ8,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,195,12,3.4,,마을나무,도로,,,충청남도 공주시 이인면이곡리 316,,36.366393,127.034196,2019-09-25
19,충청남도,공주시,공주시청,2ㅡ7,1982-10-01,,노목,,Ginkgo bilobar,은행나무,1,535,11,6,,마을나무,대,,,충청남도 공주시 이인면이인리 152,,36.362014,127.062288,2019-09-25
20,충청남도,공주시,공주시청,2ㅡ6,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,285,10,5,,마을나무,대,,,충청남도 공주시 이인면 이인리 235-11,,36.363401,127.062475,2019-09-25
21,충청남도,공주시,공주시청,2ㅡ4,1982-10-01,,노목,,Certs sinensis,팽나무,1,435,12,7.8,,마을나무,하천,,,충청남도 공주시 이인면초봉리 46,,36.376883,127.071953,2019-09-25
22,충청남도,공주시,공주시청,2ㅡ3,1982-10-01,,노목,,Certs sinensis,팽나무,1,185,10,3,,마을나무,구거,,,충청남도 공주시 이인면초봉리 583,,36.388411,127.068548,2019-09-25
23,충청남도,공주시,공주시청,2ㅡ2,2000-08-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,397,9,8.2,,마을나무,임야,,,충청남도 공주시 이인면신흥리 산15-2,,36.400781,127.060052,2019-09-25
24,충청남도,공주시,공주시청,2ㅡ1,1982-10-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,415,6,6.3,,마을나무,임야,,,충청남도 공주시 이인면오룡리 51-1,,36.402731,127.079671,2019-09-25
25,충청남도,공주시,공주시청,1ㅡ19,2007-02-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,3,260,18,1.2,,마을나무,학교용지,,,충청남도 공주시 유구읍입석리 443-1,,36.590879,126.966961,2019-09-25
26,충청남도,공주시,공주시청,1ㅡ18,2007-02-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,260,20,2,,마을나무,대,,,충청남도 공주시 유구읍입석리 546-4,,36.591017,126.961579,2019-09-25
27,충청남도,공주시,공주시청,1ㅡ17,2007-02-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,310,2.5,2.5,,마을나무,대,,,충청남도 공주시 유구읍입석리 416,,36.591017,126.962497,2019-09-25
28,충청남도,공주시,공주시청,1ㅡ16,2007-02-01,,노목,,Zelcora serrata(Treerin)Makino,느티나무,1,610,20,4,,마을나무,전,,,충청남도 공주시 유구읍동해리 586,,36.613783,127.012124,2019-09-25
