번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,전북특별자치도,부안군,부안군,9-15-4,1998-08-03,,노목+거목,느티나무,Zelkova serrata(Thunb.) Makino,느티나무,1,400,25,410,250,시·군나무,임야,378,공공,전북특별자치도 부안군 진서면 운호리 93-24,전북특별자치도 부안군 진서면 운호리 93-24,35.595704,126.560274,2020-12-14
2,전북특별자치도,부안군,부안군,9-15-6-1,1982-09-21,,노목+거목,팽나무,Celtis sinensis Pers.,팽나무,1,350,16,550,20,면나무,전,20,공공,전북특별자치도 부안군 보안면 우동리 310-2,전북특별자치도 부안군 보안면 우동리 310-2,35.618526,126.638924,2020-12-14
3,전북특별자치도,부안군,부안군,9-15-7-1,1982-09-21,,노목+거목,느티나무,Zelkova serrata(Thunb.) Makino,느티나무,1,350,25,690,260,면나무,임야,14281,공공,전북특별자치도 부안군 진서면 석포리 산84-1,전북특별자치도 부안군 진서면 석포리 산84-1,35.614187,126.588815,2020-12-14
4,전북특별자치도,부안군,부안군,9-15-11-1,1982-09-21,,노목+거목,느티나무,Zelkova serrata(Thunb.) Makino,느티나무,1,300,25,770,250,면나무,대,195,공공,전북특별자치도 부안군 하서면 백련리 170-2,전북특별자치도 부안군 하서면 백련리 170-2,35.706213,126.613762,2020-12-14
5,전북특별자치도,부안군,부안군,9-15-6-3-1,1982-09-21,,노목+거목,팽나무,Celtis sinensis Pers.,팽나무,1,300,17,480,200,마을나무,임야,56,공공,전북특별자치도 부안군 보안면 우동리 149-11,전북특별자치도 부안군 보안면 우동리 149-11,35.610511,126.638599,2020-12-14
6,전북특별자치도,부안군,부안군,9-15-7-6-1,1982-09-21,,노목+거목,팽나무,Celtis sinensis Pers.,팽나무,1,250,18,660,190,마을나무,임야,145,공공,전북특별자치도 부안군 변산면 대항리 314-2,전북특별자치도 부안군 변산면 대항리 314-2,35.687865,126.539016,2020-12-14
7,전북특별자치도,부안군,부안군,9-15-10-1-1,1982-09-21,,노목+거목,느티나무,Zelkova serrata(Thunb.) Makino,느티나무,1,300,25,400,250,마을나무,전,1276,공공,전북특별자치도 부안군 상서면 감교리 720-1,전북특별자치도 부안군 상서면 감교리 720-1,35.661889,126.650133,2020-12-14
8,전북특별자치도,부안군,부안군,9-15-10-1-2,1982-09-21,,노목+거목,느티나무,Zelkova serrata(Thunb.) Makino,느티나무,1,300,25,540,280,마을나무,전,1276,공공,전북특별자치도 부안군 상서면 감교리 720-1,전북특별자치도 부안군 상서면 감교리 720-1,35.661898,126.650176,2020-12-14
9,전북특별자치도,부안군,부안군,9-15-5,1997-10-07,,노목+거목,배롱나무,Lagerstroemia indica L.,배롱나무,3,370,8,220,30,시·군나무,전,929,공공,전북특별자치도 부안군 하서면 석불산길 156-8,전북특별자치도 부안군 하서면 청호리 810,35.72806697,126.6402497,2020-12-14
10,전북특별자치도,부안군,부안군,9-15-6,1998-10-07,,노목+거목,소나무,Pinus densiflora Siebold & Zucc.,소나무,1,370,15,340,60,시·군나무,전,1051,공공,전북특별자치도 부안군 하서면 석불산길 156-6,전북특별자치도 부안군 하서면 청호리 811-1,35.72756288,126.6404307,2020-12-14
11,전북특별자치도,부안군,부안군,9-15-7,2013-10-07,,노목+거목,배롱나무,Lagerstroemia indica L.,배롱나무,1,300,8,180,25,시·군나무,대,943,공공,전북특별자치도 부안군 위도면 내원암길 42,전북특별자치도 부안군 위도면 치도리 362,35.58827289,126.2727992,2020-12-14
12,전북특별자치도,순창군,전북특별자치도 순창군청,9-12-2-6,1982-09-20,,노목,느릅나무과,Zelkova serrata,느티나무,1,293,11,4.2,22,면나무,구거,,,전북특별자치도 순창군 인계면 마흘리 705,,35.42471645,127.166453,2020-06-25
13,전북특별자치도,순창군,전북특별자치도 순창군청,9-12-3-2,1982-09-20,,노목,느릅나무과,Zelkova serrata,느티나무,1,243,10,3,15,면나무,잡종지,,,전북특별자치도 순창군 동계면 구미리 568,,35.44381431,127.210939,2020-06-25
14,전북특별자치도,순창군,전북특별자치도 순창군청,9-12-3-3,1982-09-20,,노목,느릅나무과,Zelkova serrata,느티나무,1,250,14,4,22,면나무,도로,,,전북특별자치도 순창군 동계면 어치리 434-2,,35.47375591,127.2142407,2020-06-25
15,전북특별자치도,순창군,전북특별자치도 순창군청,9-12-3-4,1982-09-20,,노목,느릅나무과,Zelkova serrata,느티나무,1,190,14,2.9,21,마을나무,임야,,,전북특별자치도 순창군 동계면 동심리 435-4,,35.455904,127.236162,2020-06-25
16,전북특별자치도,순창군,전북특별자치도 순창군청,9-12-3-5,1982-09-20,,노목,느릅나무과,Zelkova serrata,느티나무,1,270,14,4.2,24,면나무,묘지,,,전북특별자치도 순창군 동계면 주월리 166-2,,35.457777,127.272132,2020-06-25
17,전북특별자치도,순창군,전북특별자치도 순창군청,9-12-3-6,1982-09-20,,노목,느릅나무과,Zelkova serrata,느티나무,1,230,15,4,25,면나무,임야,,,전북특별자치도 순창군 동계면 내령리 산50,,35.446313,127.2820093,2020-06-25
18,전북특별자치도,순창군,전북특별자치도 순창군청,9-12-3-7,1982-09-20,,노목,느릅나무과,Zelkova serrata,느티나무,1,286,10,3,20,면나무,도로,,,전북특별자치도 순창군 동계면 구미리 1108,,35.44427506,127.2153198,2020-06-25
