번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,전라남도,강진군,전라남도 강진군청,15-13-1,1982-12-03,,노목,,,은행나무,1,303,24,5,,마을나무,대,,공공,강진군 강진읍 향교로 140,,34.650093,126.77138,2020-07-10
2,전라남도,강진군,전라남도 강진군청,15-13-1-90,1982-12-03,,노목,,,푸조나무,1,553,20,4.6,,마을나무,대,,공공,강진군 강진읍 송덕길 119-2,,34.654756,126.745876,2020-07-10
3,전라남도,강진군,전라남도 강진군청,15-13-1-4,2009-10-27,,거목,,,팽나무,1,261,15,3.2,,마을나무,잡종지,,공공,강진군 강진읍 영파리 605-1,,34.611563,126.722916,2020-07-10
4,전라남도,강진군,전라남도 강진군청,15-13-1-2,2009-10-27,,거목,,,느티나무,1,352,25,2,,마을나무,대,,공공,강진군 강진읍 춘전리 1011,,34.635110,126.719123,2020-07-10
5,전라남도,강진군,전라남도 강진군청,15-13-5,1982-12-03,,노목,,,느티나무,1,468,15,3.7,,마을나무,임야,,공공,강진군 군동면 금강리 265-18,,34.647236,126.833933,2020-07-10
6,전라남도,강진군,전라남도 강진군청,15-13-2-3,1982-12-03,,노목,,,팽나무,1,248,10,3.5,,마을나무,도로,,공공,강진군 군동면 금사리 854-4,,34.624260,126.798693,2020-07-10
7,전라남도,강진군,전라남도 강진군청,15-13-9,1982-12-03,,거목,,,느티나무,1,388,18,3.5,,마을나무,잡종지,,공공,강진군 군동면 덕천리 629-1,,34.632879,126.824754,2020-07-10
8,전라남도,영암군,전라남도 영암군청,15-15-1-3,1982-12-03,,노목+거목,텍스트,텍스트,"팽나무,은행나무",7,310,17,340,,마을나무,잡종지,,,,영암읍 남풍리 224,34.47452,126.42006,2020-11-25
9,전라남도,영암군,전라남도 영암군청,15-15-1-3,1982-12-03,,노목+거목,텍스트,텍스트,"팽나무,은행나무",7,310,18,360,,마을나무,잡종지,,,,영암읍 남풍리 224,34.47452,126.42006,2020-11-25
10,전라남도,영암군,전라남도 영암군청,15-15-1-3,1982-12-03,,노목+거목,텍스트,텍스트,"팽나무,은행나무",7,310,19,450,,마을나무,잡종지,,,,영암읍 남풍리 224,34.47452,126.42006,2020-11-25
11,전라남도,영암군,전라남도 영암군청,15-15-1-3,1982-12-03,,노목+거목,텍스트,텍스트,"팽나무,은행나무",7,310,18,370,,마을나무,잡종지,,,,영암읍 남풍리 224,34.47452,126.42006,2020-11-25
12,전라남도,영암군,전라남도 영암군청,15-15-1-3,1982-12-03,,노목+거목,텍스트,텍스트,"팽나무,은행나무",7,310,19,460,,마을나무,잡종지,,,,영암읍 남풍리 224,34.47452,126.42006,2020-11-25
13,전라남도,영암군,전라남도 영암군청,15-15-1-3,1982-12-03,,노목+거목,텍스트,텍스트,"팽나무,은행나무",7,310,18,470,,마을나무,잡종지,,,,영암읍 남풍리 224,34.47452,126.42006,2020-11-25
14,전라남도,영암군,전라남도 영암군청,15-15-1-4,1982-12-03,,노목+거목,텍스트,텍스트,푸조나무,1,300,22,400,,마을나무,종교용지,,,,영암읍 교동리 356,34.47498,126.41348,2020-11-25
15,전라남도,영암군,전라남도 영암군청,15-15-1-5,1982-12-03,,노목+거목,텍스트,텍스트,팽나무,1,430,20,460,,마을나무,도로,,,,영암읍 회문리 737,34.47309,126.40462,2020-11-25
16,전라남도,영암군,전라남도 영암군청,15-15-1-6,1982-12-03,,노목+거목,텍스트,텍스트,푸조나무,1,300,25,450,,마을나무,임야,,,,영암읍 장암리 611,34.48123,126.43526,2020-11-25
17,전라남도,영암군,전라남도 영암군청,15-15-1-8,1982-12-03,,노목+거목,텍스트,텍스트,팽나무,1,300,9,490,,마을나무,도로,,,,영암읍 학송리 980-1,34.46294,126.44370,2020-11-25
18,전라남도,영암군,전라남도 영암군청,15-15-1-9,1986-08-30,,노목+거목,텍스트,텍스트,해송,1,500,19,510,,면나무,임야,,,,영암읍 농덕리 955-1,34.47516,126.43317,2020-11-25
19,전라남도,영암군,전라남도 영암군청,15-15-1-10,1998-10-26,,노목+거목,텍스트,텍스트,왕버들,3,200,16,380,,마을나무,대,,,,영암읍 송평리 13-2,34.48072,126.40411,2020-11-25
20,전라남도,영암군,전라남도 영암군청,15-15-1-11,2005-04-22,,노목+거목,텍스트,텍스트,이팝나무,1,150,14,240,,마을나무,도로,,,,영암읍 농덕리 442-5,34.48029,126.44330,2020-11-25
21,전라남도,영암군,전라남도 영암군청,15-15-1-12,2006-12-28,,노목+거목,텍스트,텍스트,왕버들,3,300,14,350,,면나무,하천,,,,영암읍 장암리 998,34.48197,126.43433,2020-11-25
22,전라남도,영암군,전라남도 영암군청,15-15-1-12,2006-12-28,,노목+거목,텍스트,텍스트,왕버들,3,300,15,360,,면나무,하천,,,,영암읍 장암리 998,34.48197,126.43433,2020-11-25
23,전라남도,영암군,전라남도 영암군청,15-15-1-12,2006-12-28,,노목+거목,텍스트,텍스트,왕버들,3,300,16,380,,면나무,하천,,,,영암읍 장암리 998,34.48197,126.43433,2020-11-25
