번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,경상북도,예천군,경상북도 예천군청,12 - 20 - 01,2012-09-06,,거목,,,소나무,1,250,11,2.6,,면나무,답,,개인,,경상북도 예천군 용문면 상금곡리 산32-1,36.696627,128.387629,2019-09-17
2,경상북도,예천군,경상북도 예천군청,10 - 20 - 04,2010-12-20,,거목,,,감나무,1,300,9,1.26,,시·군나무,임야,,개인,,경상북도 예천군 은풍면 동사리 261,36.777409,128.443383,2019-09-17
3,경상북도,예천군,경상북도 예천군청,10 - 20 - 03,2010-12-20,,거목,,,감나무,1,300,12,2.1,,시·군나무,대,,개인,,경상북도 예천군 은풍면 동사리 261,36.777409,128.443383,2019-09-17
4,경상북도,예천군,경상북도 예천군청,10 - 20 - 02,2010-09-27,,거목,,,소나무,1,300,13,6.75,,시·군나무,임야,,개인,,경상북도 예천군 감천면 증거리 산8-3,36.740645,128.498947,2019-09-17
5,경상북도,예천군,경상북도 예천군청,10 - 20 - 01,2010-09-27,,거목,,,느티나무,1,250,12,8.4,,면나무,임야,,개인,,경상북도 예천군 용문면 사부리 367-2,36.726344,128.311423,2019-09-17
6,경상북도,예천군,경상북도 예천군청,08 - 30 - 02,2008-05-08,,거목,,,소나무,1,600,12,1.25,,도나무,임야,,개인,,경상북도 예천군 개포면 갈마리 산 43,36.623848,128.332823,2019-09-17
7,경상북도,예천군,경상북도 예천군청,08 - 30 - 01,2008-05-08,,거목,,,돌배나무,1,450,16,3.6,,시·군나무,구거,,공공,,경상북도 예천군 효자면 초항리 산 22,36.81785,128.428767,2019-09-17
8,경상북도,예천군,경상북도 예천군청,07 - 30 - 06,2007-09-20,,거목,,,느티나무,1,300,20,3.2,,시·군나무,전,,개인,,경상북도 예천군 보문면 옥천리 임233-3,36.710364,128.536787,2019-09-17
9,경상북도,예천군,경상북도 예천군청,07 - 30 - 05,2007-09-20,,거목,,,느티나무,1,450,20,3.8,,시·군나무,임야,,개인,,경상북도 예천군 감천면 대맥리 구852-16,36.72794,128.544862,2019-09-17
10,경상북도,예천군,경상북도 예천군청,07 - 30 - 04,2007-09-20,,거목,,,느티나무,1,250,20,3.1,,면나무,임야,,개인,,경상북도 예천군 감천면 미석리 전681-1,36.744993,128.549447,2019-09-17
11,경상북도,예천군,경상북도 예천군청,07 - 30 - 03,2007-09-20,,거목,,,느티나무,1,250,20,2.5,,면나무,임야,,개인,,경상북도 예천군 감천면 진평리3 산23,36.74881,128.492059,2019-09-17
12,경상북도,예천군,경상북도 예천군청,07 - 30 - 02,2007-09-20,,거목,,,소나무,1,200,13,2,,면나무,답,,개인,,경상북도 예천군 감천면 벌방리 임 320-2,36.758396,128.482477,2019-09-17
13,경상북도,예천군,경상북도 예천군청,07 - 30 - 01,2007-09-20,,거목,,,느티나무,1,300,20,3.5,,시·군나무,답,,개인,,경상북도 예천군 예천읍 갈구리 산44,36.69753,128.462404,2019-09-17
14,경상북도,예천군,경상북도 예천군청,06 - 30 - 05,2006-06-22,,거목,,,소나무,3,200,11,2.2,,면나무,답,,공공,,경상북도 예천군 용궁면 대은리 766-8,36.597287,128.297717,2019-09-17
15,경상북도,예천군,경상북도 예천군청,06 - 30 - 04,2006-06-22,,거목,,,소나무,1,200,5,2.1,,면나무,답,,개인,,경상북도 예천군 감천면 수한리 산 15,36.772628,128.4845257,2019-09-17
16,경상북도,예천군,경상북도 예천군청,06 - 30 - 03,2006-06-22,,거목,,,버드나무,1,250,15,2.5,,면나무,답,,공공,,경상북도 예천군 예천읍 청복리2 1300,36.635181,128.450936,2019-09-17
17,경상북도,예천군,경상북도 예천군청,06 - 30 - 02,2006-06-22,,거목,,,느티나무,1,300,15,3.8,,시·군나무,답,,공공,,경상북도 예천군 예천읍 서본리1 산 9,36.023343,128.439192,2019-09-17
18,경상북도,예천군,경상북도 예천군청,06 - 30 - 01,2006-06-22,,거목,,,느티나무,1,250,12,4,,면나무,답,,개인,,경상북도 예천군 예천읍 청복리1 782-8,36.635216,128.450936,2019-09-17
19,경상북도,예천군,경상북도 예천군청,04 - 30 - 05,2004-11-15,,거목,,,소나무,1,150,12,1.4,,마을나무,대,,개인,,경상북도 예천군 용문면 능천리 231-3,36.709578,128.404583,2019-09-17
20,경상북도,예천군,경상북도 예천군청,04 - 30 - 04,2004-11-15,,거목,,,소나무,1,150,12,0.7,,마을나무,전,,개인,,경상북도 예천군 용문면 능천리 231-3,36.709578,128.404583,2019-09-17
21,경상북도,예천군,경상북도 예천군청,04 - 30 - 03,2004-09-22,,거목,,,느티나무,1,300,12,4.3,,시·군나무,전,,단체,,경상북도 예천군 호명면 황지리 447,36.651414,128.504884,2019-09-17
22,경상북도,예천군,경상북도 예천군청,04 - 30 - 02,2004-09-22,,거목,,,떡버들,1,200,15,3.6,,면나무,구거,,공공,,경상북도 예천군 감천면 마촌리 532,36.690095,128.516574,2019-09-17
23,경상북도,예천군,경상북도 예천군청,04 - 30 - 01,2004-09-22,,거목,,,소나무,1,200,10,1.8,,면나무,임야,,개인,,경상북도 예천군 용궁면 월오리 664,36.625726,128.291306,2019-09-17
24,경상북도,예천군,경상북도 예천군청,03 - 30 - 08,2003-12-29,,거목,,,왕버들,1,300,13,0.95,,시·군나무,임야,,공공,,경상북도 예천군 용궁면 가야리 650,36.611665,128.265945,2019-09-17
25,경상북도,예천군,경상북도 예천군청,03 - 30 - 07,2003-12-29,,거목,,,소나무,2,170,8.2,0.37,,마을나무,임야,,단체,,경상북도 예천군 용궁면 가야리 608-2,36.609744,128.26395,2019-09-17
26,경상북도,예천군,경상북도 예천군청,03 - 30 - 06,2003-12-29,,거목,,,팽나무,1,290,16,1.02,,면나무,임야,,개인,,경상북도 예천군 용궁면 월오리 587-1,36.618898,128.290737,2019-09-17
27,경상북도,예천군,경상북도 예천군청,03 - 30 - 05,2003-12-29,,거목,,,소나무,10,150,12.5,0.59,,마을나무,임야,,단체,,경상북도 예천군 호명면 백송리 산10-1,36.595322,128.440004,2019-09-17
28,경상북도,예천군,경상북도 예천군청,03 - 30 - 04,2003-12-29,,거목,,,소나무,2,220,14,0.84,,면나무,임야,,개인,,경상북도 예천군 감천면 수한리 산24,36.775881,128.460902,2019-09-17
29,경상북도,예천군,경상북도 예천군청,03 - 30 - 03,2003-12-29,,거목,,,소나무,1,105,14.2,0.4,,마을나무,임야,,개인,,경상북도 예천군 감천면 관현리 산82-2,36.721663,128.483357,2019-09-17
30,경상북도,예천군,경상북도 예천군청,03 - 30 - 02,2003-12-29,,거목,,,전나무,1,240,33.5,1.39,,면나무,하천,,단체,,경상북도 예천군 효자면 명봉리 산1-1,36.774103,128.359535,2019-09-17
31,경상북도,예천군,경상북도 예천군청,03 - 30 - 01,2003-12-29,,거목,,,소나무,1,140,11.8,0.68,,마을나무,전,,개인,,경상북도 예천군 예천읍 청복리 산 68,36.632558,128.451447,2019-09-17
32,경상북도,예천군,경상북도 예천군청,2001 - 17,2001-12-20,,거목,,,느티나무,1,200,14,3.1,,면나무,대,,단체,,경상북도 예천군 감천면 진평리 325,36.744005,128.481965,2019-09-17
33,경상북도,예천군,경상북도 예천군청,2001 - 16,2001-12-20,,거목,,,느티나무,1,200,13,2.4,,면나무,임야,,단체,,경상북도 예천군 보문면 오암리 422-1,36.65749345,128.5324315,2019-09-17
