번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,경상남도,거제시,경상남도 거제시,12-19-3,1982-11-10,,노목,느릅나무과,Zelkova serrata,느티나무,1,435,12,6,,시·군나무,도로,,,하청면 유계리 1334,경상남도 거제시 하청면 유계리 1334,34.953558,128.637409,2021-09-30
2,경상남도,거제시,경상남도 거제시,12-19-5,1982-11-10,,거목,느릅나무과,Celtis sinensis,팽나무,1,335,14,3.5,,면나무,대,,,아주동 1613-18,경상남도 거제시 아주동 1613-18,34.865872,128.693324,2021-09-30
3,경상남도,거제시,경상남도 거제시,12-19-5-2,1982-11-10,,노목,느릅나무과,Zelkova serrata,느티나무,1,405,14,4.5,,면나무,대,,,거제면 서상리 298-1,경상남도 거제시 거제면 서상리 298-1,34.851373,128.590644,2021-09-30
4,경상남도,거제시,경상남도 거제시,12-19-9-3,1982-11-10,,거목,느릅나무과,Zelkova serrata,느티나무,1,385,22,6.5,,마을나무,도로,,,하청면 유계리 1347,경상남도 거제시 하청면 유계리 1347,34.948370,128.632558,2021-09-30
5,경상남도,거제시,경상남도 거제시,12-19-1-4-1,1982-11-10,,거목,느릅나무과,Celtis sinensis,팽나무,1,285,21,3.7,,마을나무,잡종지,,,문동동 603-1,경상남도 거제시 문동동 603-1,34.861771,128.645011,2021-09-30
6,경상남도,거제시,경상남도 거제시,12-19-6-1-8,1982-11-10,,거목,느릅나무과,Celtis sinensis,팽나무,1,195,21,3.4,,마을나무,잡종지,,,둔덕면 상둔리 906,경상남도 거제시 둔덕면 상둔리 906,34.869913,128.542450,2021-09-30
7,경상남도,거제시,경상남도 거제시,12-19-3-1-5,1982-11-10,,거목,느릅나무과,Zelkova serrata,느티나무,1,335,10,5.6,,마을나무,답,,,일운면 망치리 795,경상남도 거제시 일운면 망치리 795,34.796179,128.663510,2021-09-30
8,경상남도,거제시,경상남도 거제시,12-19-4-2-6,1982-11-10,,거목,느릅나무과,Celtis sinensis,팽나무,1,265,15,4.8,,마을나무,답,,,동부면 산촌리 285-1,경상남도 거제시 동부면 산촌리 285-1,34.831576,128.603105,2021-09-30
9,경상남도,거제시,경상남도 거제시,12-19-4-5-7,1982-11-10,,거목,느릅나무과,Zelkova serrata,느티나무,1,235,15,6.4,,마을나무,답,,,동부면 부춘리 410-3,경상남도 거제시 동부면 부춘리 410-3,34.807117,128.603992,2021-09-30
10,경상남도,거제시,경상남도 거제시,12-19-7-4-11,1982-11-10,,노목,장미과,Chaenomeles sinensis,모과나무,1,335,18,2.5,,마을나무,대,,,사등면 지석리 237,경상남도 거제시 사등면 지석리 237,34.903739,128.525786,2021-09-30
11,경상남도,거제시,경상남도 거제시,12-19-7-6-10,1982-11-10,,거목,느릅나무과,Zelkova serrata,느티나무,1,335,16,3.4,,마을나무,대,,,사등면 오량리 959-1,경상남도 거제시 사등면 오량리 959-1,34.887187,128.494481,2021-09-30
12,경상남도,거제시,경상남도 거제시,12-19-8-1-12,1982-11-10,,거목,느릅나무과,Zelkova serrata,느티나무,1,235,17,4,,마을나무,잡종지,,,연초면 한내리 235-2,경상남도 거제시 연초면 한내리 235-2,34.930478,128.605277,2021-09-30
13,경상남도,거제시,경상남도 거제시,12-19-8-2-13,1982-11-10,,거목,느릅나무과,Zelkova serrata,느티나무,1,285,16,5.1,,마을나무,답,,,연초면 오비리 529,경상남도 거제시 연초면 오비리 529,34.924831,128.624217,2021-09-30
14,경상남도,거제시,경상남도 거제시,12-19-12-1-16,1982-11-10,,노목,느릅나무과,Celtis sinensis,팽나무,1,385,16,4.8,,마을나무,임야,,,장목면 시방리 196-3,경상남도 거제시 장목면 시방리 196-3,34.964713,128.710645,2021-09-30
15,경상남도,거제시,경상남도 거제시,12-10-6-6-1,1997-02-19,,거목,느릅나무과,Celtis sinensis,팽나무,1,370,15,3.5,,마을나무,전,,,둔덕면 방하리 709,경상남도 거제시 둔덕면 방하리 709,34.855341,128.517210,2021-09-30
16,경상남도,거제시,경상남도 거제시,12-10-6-10-1,1997-02-19,,거목,느릅나무과,Celtis sinensis,팽나무,1,320,14,3,,마을나무,학교용지,,,둔덕면 학산리 486-3,경상남도 거제시 둔덕면 학산리 486-3,34.863313,128.478695,2021-09-30
17,경상남도,거제시,경상남도 거제시,12-10-10-8-1,1997-02-19,,거목,느릅나무과,Celtis sinensis,팽나무,1,340,12,3.5,,마을나무,전,,,장목면 대금리 330,경상남도 거제시 장목면 대금리 330,34.970191,128.700020,2021-09-30
18,경상남도,거제시,경상남도 거제시,12-09-23,2009-05-07,,노목,느릅나무과,Celtis sinensis,팽나무,1,308,20,4,,마을나무,대,,,능포동 355,경상남도 거제시 능포동 355,34.877436,128.734103,2021-09-30
19,경상남도,거제시,경상남도 거제시,12-7-1-1,2016-10-11,,희귀목,두릅나무과,Hedera rhombea,송악,1,301,30,1,,마을나무,임야,,,일운면 망치리 434-7,경상남도 거제시 일운면 망치리 434-7,34.810387,128.665974,2021-09-30
20,경상남도,거제시,경상남도 거제시,12-7-1-2,2016-10-11,,노목,느릅나무과,Aphananthe aspera,푸조나무,1,301,15,4,,마을나무,임야,,,일운면 망치리 434-7,경상남도 거제시 일운면 망치리 434-7,34.810387,128.665974,2021-09-30
21,경상남도,거제시,경상남도 거제시,12-7-1-2,2016-10-11,,노목,느릅나무과,Aphananthe aspera,푸조나무,1,301,14,4,,마을나무,임야,,,일운면 망치리 434-7,경상남도 거제시 일운면 망치리 434-7,34.810387,128.665974,2021-09-28
22,경상남도,창원시,경상남도 창원시,12-17-8-15,1993-03-22,,노목,느릅나무과,Aphananthe aspera (Thunb.) Planch,푸조나무,1,400,20,280,,시·군나무,대,190,개인,,경상남도 창원시 마산합포구 진전면 고사리 1007,35.14129683,128.3713575,2020-09-01
23,경상남도,창원시,경상남도 창원시,12-5-21-3,1982-11-10,,노목,느릅나무과,Zelkova serrata,느티나무,1,270,20,600,,면나무,학교용지,100,공공,경상남도 창원시 진해구 웅천중로71,경상남도 창원시 진해구 성내동 395-6,35.11250707,128.7490723,2020-09-01
24,경상남도,창원시,경상남도 창원시,12-5-21-4,1982-11-10,,노목,느릅나무과,Zelkova serrata,느티나무,1,220,17,420,,면나무,공원,120,,,경상남도 창원시 진해구 남문동 1238,35.107409,128.751377,2020-09-01
25,경상남도,창원시,경상남도 창원시,12-5-21-5,1982-11-10,,노목,느릅나무과,Zelkova serrata,느티나무,1,170,20,410,,마을나무,잡종지,225,공공,,경상남도 창원시 진해구 성내동 462,35.112813,128.752118,2020-09-01
26,경상남도,창원시,경상남도 창원시,12-5-23-1-1,1982-11-10,,노목,느릅나무과,Zelkova serrata,느티나무,1,250,18,400,,면나무,임야,132,공공,,경상남도 창원시 진해구 대장동 15-4,35.137852,128.779551,2020-09-01
27,경상남도,창원시,경상남도 창원시,2012-04-27,2004-07-30,,노목,소나무과,Pinus densiflora,소나무,1,300,22,111,,시·군나무,임야,40,공공,,경상남도 창원시 진해구 태백동 산84-1,35.174295,128.6552819,2020-09-01
28,경상남도,창원시,경상남도 창원시,2012-04-28,2005-12-09,,노목,소나무과,Pinus densiflora,소나무,1,300,10,180,,시·군나무,대,110,공공,경상남도 창원시 진해구 진해대로1101,경상남도 창원시 진해구 풍호동 1,35.13143307,128.7101598,2020-09-01
29,경상남도,창원시,경상남도 창원시,2012-04-29,2005-12-09,,노목,느릅나무과,Zelkova serrata,느티나무,1,220,17,460,,면나무,종교용지,45,단체,경상남도 창원시 진해구 대장로273,경상남도 창원시 진해구 대장동 180,35.14746203,128.779349,2020-09-01
30,경상남도,창원시,경상남도 창원시,12-17-2-1,1981-01-23,,노목,느릅나무과,Zelkova serrata,느티나무,1,300,12,560,,시·군나무,도로,150,공공,경상남도 창원시 의창구 동읍 덕산길 93,경상남도 창원시 의창구 동읍 덕산리 850-8,35.27205445,128.673692,2020-09-01
31,경상남도,창원시,경상남도 창원시,12-17-3-9-1,1981-01-23,,노목,참나무과,Quercus variabilis Blume,굴참나무,1,350,8,330,,시·군나무,도로,200,공공,경상남도 창원시 의창구 북면 동전무동길 6-3,경상남도 창원시 의창구 북면 동전리 679,35.31640528,128.5993081,2020-09-01
32,경상남도,창원시,경상남도 창원시,12-17-3-7-1,1981-01-23,,노목,느릅나무과,Zelkova serrata,느티나무,1,250,12,620,,면나무,도로,210,공공,경상남도 창원시 의창구 북면 달천길52번길 12,경상남도 창원시 의창구 북면 외감리 1088,35.29021314,128.6003271,2020-09-01
33,경상남도,창원시,경상남도 창원시,12-17-3-17-1,1981-01-23,,노목,느릅나무과,Zelkova serrata,느티나무,1,300,18,470,,시·군나무,잡종지,180,단체,경상남도 창원시 의창구 북면 마산길 42번길 3,경상남도 창원시 의창구 북면 마산리 208,35.34240106,128.6203355,2020-09-01
34,경상남도,창원시,경상남도 창원시,12-4-1-1,1982-11-10,,노목,느릅나무과,Zelkova serrata,느티나무,1,280,20,580,,면나무,대,260,개인,,경상남도 창원시 의창구 소답동 131-12,35.26575521,128.627794,2020-09-01
35,경상남도,창원시,경상남도 창원시,12-4-1-2,1982-11-10,,노목,느릅나무과,Zelkova serrata,느티나무,1,210,15,430,,면나무,종교용지,210,단체,경상남도 창원시 의창구 의안로59번길 6,경상남도 창원시 의창구 소답동 433-2,35.26752683,128.6233747,2020-09-01
36,경상남도,창원시,경상남도 창원시,12-4-2-1,1982-11-10,,노목,은행나무과,Ginkgo biloba,은행나무,1,260,20,620,,면나무,잡종지,93,공공,,경상남도 창원시 의창구 동정동 370,35.265964,128.61463,2020-09-01
37,경상남도,창원시,경상남도 창원시,12-4-2-2,1982-11-10,,노목,느릅나무과,Zelkova serrata,느티나무,1,190,18,410,,마을나무,공원,280,공공,,경상남도 창원시 의창구 서상동 672-5,35.2626434,128.621673,2020-09-01
38,경상남도,창원시,경상남도 창원시,12-4-5-1,1982-11-10,,노목,느릅나무과,Zelkova serrata,느티나무,2,290,15,450,,면나무,공원,640,공공,경상남도 창원시 의창구 명서로89번길 14-26,경상남도 창원시 의창구 명서동 153-22,35.24868044,128.650522,2020-09-01
39,경상남도,창원시,경상남도 창원시,12-4-6-1,1982-11-10,,노목,느릅나무과,Zelkova serrata,느티나무,1,350,16,400,,시·군나무,공원,360,공공,경상남도 창원시 의창구 창이대로343번길 94-4,경상남도 창원시 의창구 사림동 77-8,35.24445491,128.6827859,2020-09-01
40,경상남도,창원시,경상남도 창원시,12-4-1-3,1997-01-16,,노목,느릅나무과,Aphananthe aspera (Thunb.) Planch,푸조나무,7,200,15,250,,면나무,임야,218,단체,,경상남도 창원시 의창구 동읍 신방리 451,35.2941137,128.675664,2020-09-01
41,경상남도,창원시,경상남도 창원시,12-4-3-3-1,1997-03-26,,노목,느릅나무과,Zelkova serrata,느티나무,1,200,14,360,,면나무,잡종지,160,단체,경상남도 창원시 의창구 대산면 모산길46번길 5,경상남도 창원시 의창구 대산면 모산리 238,35.35487947,128.7127116,2020-09-01
42,경상남도,창원시,경상남도 창원시,12-4-3-3-2,1997-03-26,,노목,느릅나무과,Celtis sinensis Pers,팽나무,1,200,12,390,,면나무,잡종지,992,공공,경상남도 창원시 의창구 대산면 모산길 51-20,경상남도 창원시 의창구 대산면 모산리 202,35.35580084,128.7112878,2020-09-01
43,경상남도,창원시,경상남도 창원시,12-4-13-1,1998-01-19,,노목,소나무과,Pinus densiflora,소나무,3,300,16,240,,시·군나무,전,100,개인,경상남도 창원시 의창구 북면 외산로117번길 33,경상남도 창원시 의창구 북면 외산리 1085-1,35.37223706,128.5927818,2020-09-01
44,경상남도,창원시,경상남도 창원시,12-00-1,2000-03-16,,노목,느릅나무과,Celtis sinensis Pers,팽나무,1,250,11,560,,면나무,임야,307,개인,,경상남도 창원시 의창구 대산면 일동리 533,35.368968,128.684827,2020-09-01
45,경상남도,창원시,경상남도 창원시,12-4-33,2004-10-25,,노목,소나무과,Pinus densiflora S. et Z. for. multicaulis Uyeki,반송,1,200,20,260,,면나무,임야,100,단체,,경상남도 창원시 의창구 북면 무곡리 산158,35.327132,128.574352,2020-09-01
46,경상남도,창원시,경상남도 창원시,12-4-34,2004-10-25,,노목,소나무과,Pinus densiflora S. et Z. for. multicaulis Uyeki,반송,1,200,20,250,,면나무,임야,100,단체,,경상남도 창원시 의창구 북면 무곡리 산158,35.327132,128.574352,2020-09-01
47,경상남도,창원시,경상남도 창원시,2012-05-15,2005-12-29,,노목,은행나무과,Ginkgo biloba,은행나무,1,500,11,700,,도나무,종교용지,200,단체,경상남도 창원시 의창구 동읍 자여로 459,경상남도 창원시 의창구 동읍 단계리 7,35.24872888,128.716583,2020-09-01
48,경상남도,창원시,경상남도 창원시,2012-07-02,2007-01-29,,노목,느릅나무과,Celtis sinensis Pers,팽나무,1,300,13,500,,시·군나무,답,16,단체,경상남도 창원시 의창구 동읍 의창대로491번길 57-3,경상남도 창원시 의창구 동읍 용강리 168-17,35.27240671,128.645642,2020-09-01
49,경상남도,창원시,경상남도 창원시,12-9-37,2009-12-10,,노목,느릅나무과,Celtis sinensis Pers,팽나무,1,250,14,420,,면나무,묘지,250,개인,경상남도 창원시 의창구 동읍 주남로128번길 24-13,경상남도 창원시 의창구 동읍 월잠리 139-1,35.30520295,128.6846588,2020-09-01
