번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,제주특별자치도,제주시,제주특별자치도,13-3-5-3-25,1992-08-18,,노목+거목,,,곰솔,1,100,17,450,,마을나무,임야,김규명,개인,,제주특별자치도 제주시 조천읍 조천리 산92(도로 변),33.5115718,126.654004,2024-07-24
2,제주특별자치도,제주시,제주특별자치도,13-3-5-10-36,1992-08-18,,노목+거목,,,곰솔,1,120,20,400,,마을나무,임야,학교법인한양학원,단체,,제주특별자치도 제주시 조천읍 선흘리 1988-15,33.4719232,126.700142,2024-07-24
3,제주특별자치도,제주시,제주특별자치도,13-3-5-10-37,1992-08-18,,노목+거목,,,곰솔,1,150,20,450,,마을나무,임야,학교법인한양학원,단체,,제주특별자치도 제주시 조천읍 선흘리 1988-15,33.4717971,126.700196,2024-07-24
4,제주특별자치도,제주시,제주특별자치도,13-3-4-4-38,1992-08-18,,노목+거목,,,곰솔,1,100,12,200,,마을나무,임야,좌승준,개인,,제주특별자치도 제주시 한경면 신창리 659-3,33.3428362,126.181801,2024-07-24
5,제주특별자치도,제주시,제주특별자치도,13-3-12,1996-03-25,,노목+거목,,,팽나무,1,410,18,600,,시·군나무,도로,김병준,개인,,제주특별자치도 제주시 애월읍 어음리 3830-2(어음리 3830-1 앞),33.4160429,126.328401,2024-07-24
6,제주특별자치도,제주시,제주특별자치도,13-3-13,2000-09-05,,노목+거목,,,팽나무,1,350,12,390,,시·군나무,전,전은숙,개인,,제주특별자치도 제주시 조천읍 와산리 489-2,33.4806013,126.687524,2024-07-24
7,제주특별자치도,제주시,제주특별자치도,13-3-4-7-1,2000-09-05,,노목+거목,,,팽나무,1,120,10,300,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 한경면 낙천리 2400(낙천리 1754 앞),33.3245080,126.228389,2024-07-24
8,제주특별자치도,제주시,제주특별자치도,13-3-4-7-2,2000-09-05,,노목+거목,,,팽나무,1,110,15,330,,마을나무,유지,낙천리마을회,단체,,제주특별자치도 제주시 한경면 낙천리 1700,33.3222387,126.228817,2024-07-24
9,제주특별자치도,제주시,제주특별자치도,13-3-15,2022-05-11,,노목+거목,,,팽나무,1,310,7,340,,시·군나무,임야,하가리마을회,단체,,제주특별자치도 제주시 애월읍 하가리 1373-3,33.4554242,126.348641,2024-07-24
10,제주특별자치도,제주시,제주특별자치도,13-3-16,2022-05-11,,노목+거목,,,팽나무,1,350,15,580,,시·군나무,대,전혜진,개인,,제주특별자치도 제주시 애월읍 수산리 868,33.4693307,126.391954,2024-07-24
