t_ce_na,t_num,t_sdate,t_ty,t_fna,t_bna,t_tty,t_age,t_fr,t_gr,t_gr_num,t_rad,t_ad
서울특별시 성동구청,서 4-1,1982-10-30,노목,회화,Sophora japonica L.,회화나무,515,마을나무,공원,,,서울특별시 성동구 성수2가1동 416-2
서울특별시 성동구청,서 4-2,1981-10-27,노목,느티,Zelkova serrata (Thunb.) Makino,느티나무,315,마을나무,대,,,서울특별시 성동구 성수1가동 110
서울특별시 성동구청,서 4-3,1981-10-27,노목,느티,Zelkova serrata (Thunb.) Makino,느티나무,315,마을나무,대,,,서울특별시 성동구 성수1가동 110
서울특별시 성동구청,서 4-4,1981-10-27,노목,은행,Ginkgo biloba L.,은행나무,415,마을나무,대,,,서울특별시 성동구 상왕십리동 71
서울특별시 성동구청,서 4-5,1986-11-25,노목,느티,Zelkova serrata (Thunb.) Makino,느티나무,310,마을나무,수도용지,,,서울특별시 성동구 성수1가동 642-1
서울특별시 성동구청,서 4-6,1981-10-27,거목,느티,Zelkova serrata (Thunb.) Makino,느티나무,215,마을나무,종교용지,,,서울특별시 성동구 옥수동 415-1
서울특별시 성동구청,서 4-7,1981-10-27,거목,느티,Zelkova serrata (Thunb.) Makino,느티나무,215,마을나무,종교용지,,,서울특별시 성동구 옥수동 415-1
서울특별시 성동구청,서 4-8,2000-12-20,거목,느티,Zelkova serrata (Thunb.) Makino,느티나무,340,마을나무,대,,,서울특별시 성동구 성수1가동 208
서울특별시 성동구청,서 4-9,2004-12-27,거목,느티,Zelkova serrata (Thunb.) Makino,느티나무,300,마을나무,대,,,서울특별시 성동구 성수1가동 208
서울특별시 관악구청,서21-1,1974-04-20,노목+거목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,370,도나무,대,213.0,서울특별시 관악구 난곡로 133-6,서울특별시 관악구 신림동 697-40
서울특별시 광진구청,서5-1,1974-04-20,노목,쌍떡잎식물쐐기풀목느릅나무과,Sawleaf Zelkova,느티나무,663,도나무,대,1501.0,서울특별시 광진구 군자로 30-1,서울특별시 광진구 화양동 131
서울특별시 광진구청,서5-2,1982-10-20,노목,쌍떡잎식물쐐기풀목느릅나무과,Sawleaf Zelkova,느티나무,400,도나무,종교용지,2684.0,서울특별시 광진구 영화사로 107,서울특별시 광진구 구의동 9
서울특별시 광진구청,서5-3,2000-12-20,노목,겉씨식물구과식물목측백나무과,Juniperus chinensis,향나무,467,도나무,공원,758.0,,서울특별시 광진구 능동 367-2
서울특별시 광진구청,서5-4,2005-07-21,노목,쌍떡잎식물쐐기풀목느릅나무과,Sawleaf Zelkova,느티나무,312,도나무,공원,949.0,,서울특별시 광진구 화양동 110-32
서울특별시 금천구청,서18-6,1998-04-18,노목,느릅나무과,Ze Lkov Serrata Mak ino,느티나무,520,시·군나무,대,,서울특별시 금천구 호암로 278,서울특별시 금천구 시흥동 234
서울특별시 금천구청,서18-5,1998-04-18,노목,느릅나무과,Ze Lkov Serrata Mak ino,느티나무,520,시·군나무,대,,서울특별시 금천구 호암로 278,서울특별시 금천구 시흥동 234
서울특별시 금천구청,서18-4,1969-05-12,노목,콩과,Junperus Ch inens is Linne,향나무,574,시·군나무,공원,,,서울특별시 금천구 시흥동 230-40
서울특별시 금천구청,서18-3,1968-07-03,노목,은행나무과,Ginkgo biloba Linne,은행나무,880,시·군나무,대,,,서울특별시 금천구 시흥동 836-33
서울특별시 금천구청,서18-2,1968-07-03,노목,은행나무과,Ginkgo biloba Linne,은행나무,880,시·군나무,도로,,,서울특별시 금천구 시흥동 1000-106
서울특별시 금천구청,서18-1,1968-07-03,노목,은행나무과,Ginkgo biloba Linne,은행나무,880,시·군나무,도로,,,서울특별시 금천구 시흥동 1000-124
서울특별시 마포구청,서14-1,1968-07-03,노목+거목,,,느티나무,337,마을나무,대,,마포구 토정로4길 58,서울특별시 마포구 상암동 1595번지 한국지역정보개발원(KLID Tower)
서울특별시 마포구청,서14-3,1968-07-03,노목+거목,,,회화나무,287,마을나무,대,,,마포구 창전동 444
서울특별시 마포구청,서14-4,1968-07-03,노목+거목,,,은행나무,237,마을나무,대,,,마포구 상수동 353-3
서울특별시 마포구청,서14-5,1968-07-03,노목+거목,,,느티나무,187,도나무,임야,,,마포구 창전동 42-17
서울특별시 마포구청,서14-6,1968-07-03,노목+거목,,,느티나무,187,시·군나무,공원,,,마포구 창전동 446-5
서울특별시 마포구청,서14-7,1968-07-03,노목+거목,,,느티나무,185,시·군나무,공원,,,마포구 창전동 446-5
서울특별시 마포구청,서14-8,1968-07-04,노목+거목,,,회화나무,185,시·군나무,공원,,,마포구 창전동 445
서울특별시 마포구청,서14-9,1968-07-05,노목+거목,,,회화나무,185,시·군나무,공원,,,마포구 창전동 445
서울특별시 마포구청,서14-10,1968-07-06,노목+거목,,,회화나무,185,시·군나무,도로,,,마포구 상수동 276
서울특별시 마포구청,서14-11,1968-07-07,노목+거목,,,느티나무,185,시·군나무,대,,,마포구 상수동 334-10
서울특별시 마포구청,서14-12,1981-10-27,노목+거목,,,회화나무,170,시·군나무,공원,,,마포구 상수동 262-3
서울특별시 마포구청,서14-13,1981-10-27,노목+거목,,,느티나무,170,마을나무,묘지,,마포구 양화진길 46,
서울특별시 마포구청,서14-14,2004-12-27,노목+거목,,,비술나무,155,도나무,학교용지,,마포구 백범로17길 9,
서울특별시 마포구청,서14-15,2004-12-27,노목+거목,,,비술나무,155,도나무,학교용지,,마포구 백범로17길 9,
서울특별시 마포구청,서14-16,2005-07-21,노목+거목,,,은행나무,135,시·군나무,임야,,,마포구 합정동 450-6
서울특별시 강북구청,서9-2,1981-10-27,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,415,시·군나무,임야,,서울특별시 강북구 인수봉로23길 235 (수유동),서울특별시 강북구 수유동 산 164-5
서울특별시 강북구청,서9-5,2006-07-13,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,120,마을나무,학교용지,,서울특별시 강북구 인수봉로 159,서울특별시 강북구 수유동 458-1
서울특별시 강북구청,서9-1,1981-10-27,노목,쌍떡잎식물 쐐기풀목 느릅나무과,Zelkova serrata,느티나무,415,시·군나무,임야,,서울특별시 강북구 인수봉로23길 235 (수유동),서울특별시 강북구 수유동 산 164-5
영등포구청,서19-1,1968-07-03,거목+노목,은행나무,Ginkgo biloba,은행나무,530,도나무,공원,,"서울특별시 영등포구 당산로46길 38, 당산동6가 10-7 (당산동6가)",서울특별시 영등포구 당산동6가 10-13
서울특별시 은평구청,서12-5,1981-10-27,노목+거목,느릅나무과,Zelkova serrata,느티나무,217,면나무,하천,,서울특별시 은평구 진관길 73,서울특별시 은평구 진관동 354-5
서울특별시 은평구청,서12-6,1981-10-27,노목+거목,느릅나무과,Zelkova serrata,느티나무,167,마을나무,하천,,서울특별시 은평구 연서로 257,서울특별시 은평구 불광동 309-5
서울특별시 은평구청,서12-7,1981-10-27,노목+거목,느릅나무과,Zelkova serrata,느티나무,167,마을나무,하천,,서울특별시 은평구 연서로 257,서울특별시 은평구 불광동 309-5
서울특별시 은평구청,서12-8,1981-10-27,노목+거목,소태나무과,Ailanthus altissima,가중나무,117,마을나무,철도용지,,서울특별시 은평구 수색로 261,서울특별시 은평구 수색동 380-1
서울특별시 은평구청,서12-9,1981-10-27,노목+거목,소태나무과,Ailanthus altissima,가중나무,117,마을나무,철도용지,,서울특별시 은평구 수색로 261,서울특별시 은평구 수색동 380-1
서울특별시 은평구청,서12-10,1981-10-27,노목+거목,느릅나무과,Zelkova serrata,느티나무,167,마을나무,대,,서울특별시 은평구 의상봉길 65,서울특별시 은평구 진관동 310-5
서울특별시 은평구청,서12-11,1981-10-27,노목+거목,느릅나무과,Zelkova serrata,느티나무,167,마을나무,전,,서울특별시 은평구 연서로54길 20-1,서울특별시 은평구 진관동 132-27
서울특별시 은평구청,서12-14,2004-12-27,노목+거목,장미과,Prunus almeniaca,살구나무,182,마을나무,대,,서울특별시 은평구 은평로20가길 18-3,서울특별시 은평구 응암동 54-2
서울특별시 은평구청,서12-15,2007-11-29,노목+거목,느릅나무과,Zelkova serrata,느티나무,122,마을나무,대,,서울특별시 은평구 연서로48길 52,서울특별시 은평구 진관동 125-25
서울특별시 은평구청,서12-16,2007-11-29,노목+거목,느릅나무과,Zelkova serrata,느티나무,132,마을나무,대,,서울특별시 은평구 연서로48길 52,서울특별시 은평구 진관동 125-25
서울특별시 성북구청,서8-2,1968-07-03,노목,느릅나무과,Zelkova serrata,느티나무,380,마을나무,임야,35.0,서울특별시 성북구 아리랑로19길 116,서울특별시 성북구 정릉동 508
서울특별시 성북구청,서8-3,1968-07-03,노목,느릅나무과,Zelkova serrata,느티나무,380,마을나무,임야,35.0,서울특별시 성북구 아리랑로19길 116,서울특별시 성북구 정릉동 508
서울특별시 성북구청,서8-4,1968-07-03,노목,느릅나무과,Zelkova serrata,느티나무,390,마을나무,대,6.0,서울특별시 성북구 아리랑로5길 95,서울특별시 성북구 돈암동 산 85-97
서울특별시 성북구청,서8-5,1981-10-27,노목,느릅나무과,Zelkova serrata,느티나무,305,마을나무,대,70.0,서울특별시 성북구 선잠로5길 68,서울특별시 성북구 성북동 323
서울특별시 성북구청,서8-6,1981-10-27,노목,느릅나무과,Zelkova serrata,느티나무,205,마을나무,대,55.0,서울특별시 성북구 선잠로5길 68,서울특별시 성북구 성북동 323
서울특별시 성북구청,서8-7,1981-10-27,노목,느릅나무과,Zelkova serrata,느티나무,205,마을나무,임야,30.0,서울특별시 성북구 아리랑로19길 116,서울특별시 성북구 정릉동 508
서울특별시 성북구청,서8-8,2004-12-27,노목,측백나무과,Juniperus chinensis Linnaeus,향나무,240,마을나무,대,6.0,,서울특별시 성북구 장위동 223-33
서울특별시 동작구청,서20-1,1968-07-03,노목,은행나무과,Ginkgo biloba,은행나무,336,시·군나무,대,,서울특별시 동작구 사당로14나길 2,서울특별시 동작구 사당4동 281-1
서울특별시 동작구청,서20-2,1968-07-03,노목,은행나무과,Ginkgo biloba,은행나무,336,시·군나무,대,,,서울특별시 동작구 사당4동 713-2
서울특별시 동작구청,서20-3,1981-10-27,노목,느릅나무과,Zelkova serrata,느티나무,326,시·군나무,도로,,,서울특별시 동작구 사당4동 708-1152
서울특별시 동작구청,서20-4,1981-10-27,노목,느릅나무과,Zelkova serrata,느티나무,226,면나무,대,,서울특별시 동작구 서달로 4,서울특별시 동작구 상도동 103-2
서울특별시 동작구청,서20-5,1985-10-02,노목,느릅나무과,Zelkova serrata,느티나무,316,시·군나무,대,,서울특별시 동작구 현충로210,서울특별시 동작구 동작동 305(현충원 내)
서울특별시 구로구청,서17-2,2004-12-27,노목,구과,Thuja orientalis,측백나무,500,도나무,대,228.0,서울특별시 구로구 구로동로7나길 11 (가리봉동),서울특별시 구로구 가리봉동 13-81
서울특별시 구로구청,서17-1,1981-10-27,노목,은행나무과,Ginkgo biloba,은행나무,300,시·군나무,대,229192.1,,서울특별시 구로구 천왕동 274-2
서울특별시 서대문구,서13-1,1972-10-12,노목+거목,느릅나무과,Zelkova serrata makino,느티나무,400,시·군나무,임야,,서울특별시 서대문구 봉원사길 111 (봉원동),서울특별시 서대문구 봉원동 23
