t_sta_info,t_sta_spec,t_sta_ad,t_sta_dat,t_sta_age
노목 - 보목,주목 (Taxus cuspidata),내면 창촌리 산3,2016-10-04,1.0
노목 - 풍치목,소나무 (Pinus densiflora),인제읍 덕적리 산1,2003-12-04,317.0
노목 - 풍치목,소나무 (Pinus densiflora),기린면 방동리 산20,2003-12-04,317.0
노목 - 풍치목,돌배나무 (Pyrus pyrifolia),기린면 진동리 산71,2005-12-15,265.0
노목 - 풍치목,돌배나무 (Pyrus pyrifolia),기린면 진동리 산71,2005-12-15,315.0
노목 - 풍치목,졸참나무 (Quercus serrata),인제읍 가아리 산1-40,2005-12-15,235.0
노거목 - 당산목,소나무 (Pinus densiflora),금악면 금악리 산1,1998-08-27,222.0
노거목 - 당산목,졸참나무 (Quercus serrata),해안면 만대리 산42,2004-09-20,186.0
노거목 - 당산목,복자기 (Acer triflorum Kom),양구읍 상무룡리 산1-22,2004-09-20,166.0
희귀목 - 보목,철쭉 (Rhododendron schlippenbachii Maxim),춘양면 우구치리 산1-1,2006-05-25,568.0
거목 - 명목,소나무 (Pinus densiflora  Siebold & Zucc),석포면 대현리 산13-1,2011-12-30,318.0
노거목 - 풍치목,소나무 (Pinus densiflora Siebold & Zucc.),금강송면 소광리 산29,1995-03-05,565.0
노거목 - 풍치목,소나무 (Pinus densiflora Siebold & Zucc.),금강송면 소광리 산29,1995-03-20,565.0
노거목 - 풍치목,소나무 (Pinus densiflora Siebold & Zucc.),금강송면 소광리 산11,2014-06-05,610.0
노거목 - 기형목,향나무 (Juniperus chinensis),울릉읍 도동리 산4,1998-10-26,1.0
희귀목 - 기형목,소나무 (Pinus densiflora S. et Z),청천면 사기막리 산10-1,1997-10-16,95.0
희귀목 - 풍치목,소나무 (Pinus densiflora Siebold & Zucc.),상당구 가덕면 한계리 산21,2012-01-31,118.0
,서어나무 (Carpinus laxiflora),구림면 안정리 산3-1,2009-11-09,115.0
노거목 - 풍치목,소나무 (pinus densiflora),주천면 덕치리 산6-1,2013-10-29,261.0
노거목 - 풍치목,소나무 (pinus densiflora),주천면 덕치리 산6-1,2013-10-29,261.0
노거목 - 풍치목,소나무 (pinus densiflora),주천면 덕치리 산6,2013-10-29,261.0
노거목 - 풍치목,소나무 (pinus densiflora),주천면 덕치리 산6,2013-10-29,261.0
노거목 - 풍치목,회화나무 (Sophora japonica),궁정동 55-3,1968-07-03,486.0
노거목 - 풍치목,느티나무 (Zelkova serrata),청운동 89-9,1981-10-27,608.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),인의동 48-55,1981-10-27,508.0
노거목 - 풍치목,느티나무 (Zelkova serrata),연지동 136-74,1981-10-27,558.0
노거목 - 풍치목,회화나무 (Sophora japonica),종로33길 31,1981-10-27,508.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),신영동 240-1,1988-06-08,546.0
노거목 - 풍치목,회화나무 (Sophora japonica),화동 2,2000-06-05,324.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),와룡동 4-1,1972-10-12,477.0
노거목 - 풍치목,회화나무 (Sophora japonica),견지동 45,1972-10-12,502.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),행촌동 1,1976-06-05,468.0
노거목 - 풍치목,소나무 (Pinus densiflora),구기동 81-38,1981-10-27,358.0
노거목 - 풍치목,느티나무 (Zelkova serrata),궁정동 1-45,1981-10-27,358.0
희귀목 - 풍치목,중국굴피나무 (Pterocarya stenoptera),청운동 89-64,1981-10-27,458.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),계동 1,1988-06-08,546.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),신교동 1-1,1989-10-24,295.0
노거목 - 풍치목,소나무 (Pinus densiflora),부암동 201,1968-07-03,236.0
노거목 - 풍치목,소나무 (Pinus densiflora),평창동 248,1968-07-03,286.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),청운동 89-9,1981-10-27,258.0
노거목 - 풍치목,느티나무 (Zelkova serrata),구기동 40,1981-10-27,308.0
노거목 - 풍치목,회화나무 (Sophora japonica),화동 138-20,1986-11-22,248.0
노거목 - 풍치목,느티나무 (Zelkova serrata),가회동 5,1988-09-12,346.0
노거목 - 풍치목,느티나무 (Zelkova serrata),신영동 214-13,1989-10-24,290.0
노거목 - 풍치목,비술나무 (Ulmus pumila),소격동 165,1996-08-16,178.0
노거목 - 풍치목,비술나무 (Ulmus pumila),소격동 165,1996-08-16,178.0
노거목 - 풍치목,비술나무 (Ulmus pumila),소격동 165,1996-08-16,178.0
노거목 - 풍치목,느티나무 (Zelkova serrata),신교동 1-1,1972-10-12,277.0
노거목 - 풍치목,소나무 (Pinus densiflora),평창동 329-9,1968-07-03,236.0
노거목 - 풍치목,느티나무 (Zelkova serrata),팔판동 2,1972-10-12,227.0
노거목 - 풍치목,향나무 (Juniperus chinensis),사직동 1-28,2000-12-20,254.0
노거목 - 풍치목,소나무 (Pinus densiflora),소격동 165,2007-11-29,117.0
노거목 - 정자목,회화나무 (Sophora japonica),정동 34-16,1972-10-12,877.0
노거목 - 보목,향나무 (Juniperus chinensis),정동 34-5,1972-10-12,577.0
노거목 - 정자목,회화나무 (Sophora japonica),정동 16-1,1976-11-17,568.0
노거목 - 정자목,은행나무 (Ginkgo biloba),회현동 1가 203,1972-10-12,527.0
노거목 - 정자목,은행나무 (Ginkgo biloba),회현동 1가 36-7,1972-10-12,527.0
노거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),예장동 2-1,1996-08-16,478.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),예장동 2-1,1996-08-16,428.0
노거목 - 보목,모감주나무 (Koelreuteria paniculata Laxm.),남대문로 5가 467,1972-10-12,132.0
노거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),남대문로 5가 467,1972-10-12,277.0
노거목 - 풍치목,회화나무 (Sophora japonica),황학동 1163,1981-10-27,208.0
